Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P30492,1B54_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-54 alpha chain (Bw-22) (Bw-54) (MHC class I antigen B*54)",HLA-B HLAB,Homo sapiens (Human),362
P30493,1B55_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-55 alpha chain (Bw-55) (HLA class I histocompatibility antigen, B-12 alpha chain) (MHC class I antigen B*55)",HLA-B HLAB CDABP0067,Homo sapiens (Human),362
P30495,1B56_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-56 alpha chain (Bw-22) (Bw-56) (MHC class I antigen B*56)",HLA-B HLAB,Homo sapiens (Human),362
P18465,1B57_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-57 alpha chain (Bw-57) (MHC class I antigen B*57)",HLA-B HLAB,Homo sapiens (Human),362
P10319,1B58_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-58 alpha chain (Bw-58) (MHC class I antigen B*58)",HLA-B HLAB,Homo sapiens (Human),362
Q29940,1B59_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-59 alpha chain (MHC class I antigen B*59)",HLA-B HLAB,Homo sapiens (Human),362
Q29836,1B67_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-67 alpha chain (MHC class I antigen B*67)",HLA-B HLAB,Homo sapiens (Human),362
Q31612,1B73_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-73 alpha chain (MHC class I antigen B*73)",HLA-B HLAB,Homo sapiens (Human),363
P30498,1B78_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-78 alpha chain (MHC class I antigen B*78)",HLA-B HLAB,Homo sapiens (Human),362
Q31610,1B81_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-81 alpha chain (B'DT) (MHC class I antigen B*81)",HLA-B HLAB,Homo sapiens (Human),362
Q29718,1B82_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-82 alpha chain (MHC class I antigen B*82)",HLA-B HLAB,Homo sapiens (Human),362
P30499,1C01_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-1 alpha chain (MHC class I antigen Cw*1)",HLA-C HLAC,Homo sapiens (Human),366
P30501,1C02_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-2 alpha chain (MHC class I antigen Cw*2)",HLA-C HLAC,Homo sapiens (Human),366
P04222,1C03_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-3 alpha chain (MHC class I antigen Cw*3)",HLA-C HLAC,Homo sapiens (Human),366
P30504,1C04_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-4 alpha chain (MHC class I antigen Cw*4)",HLA-C HLAC,Homo sapiens (Human),366
Q9TNN7,1C05_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-5 alpha chain (MHC class I antigen Cw*5)",HLA-C HLAC,Homo sapiens (Human),366
Q29963,1C06_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-6 alpha chain (MHC class I antigen Cw*6)",HLA-C HLAC,Homo sapiens (Human),366
P10321,1C07_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-7 alpha chain (MHC class I antigen Cw*7)",HLA-C HLAC,Homo sapiens (Human),366
P30505,1C08_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-8 alpha chain (MHC class I antigen Cw*8)",HLA-C HLAC,Homo sapiens (Human),366
P30508,1C12_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-12 alpha chain (MHC class I antigen Cw*12)",HLA-C HLAC,Homo sapiens (Human),366
P30510,1C14_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-14 alpha chain (MHC class I antigen Cw*14)",HLA-C HLAC,Homo sapiens (Human),366
Q07000,1C15_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-15 alpha chain (MHC class I antigen Cw*15)",HLA-C HLAC,Homo sapiens (Human),366
Q29960,1C16_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-16 alpha chain (MHC class I antigen Cw*16)",HLA-C HLAC,Homo sapiens (Human),366
Q95604,1C17_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-17 alpha chain (MHC class I antigen Cw*17)",HLA-C D6S204 HLA-JY3 HLAC,Homo sapiens (Human),372
Q29865,1C18_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-18 alpha chain (MHC class I antigen Cw*18)",HLA-C HLAC,Homo sapiens (Human),366
P04229,2B11_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-1 beta chain (MHC class II antigen DRB1*1) (DR-1) (DR1)",HLA-DRB1,Homo sapiens (Human),266
P01912,2B13_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-3 chain (Clone P2-beta-3) (MHC class II antigen DRB1*3)",HLA-DRB1,Homo sapiens (Human),266
P13760,2B14_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-4 beta chain (MHC class II antigen DRB1*4) (DR-4) (DR4)",HLA-DRB1,Homo sapiens (Human),266
P13761,2B17_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-7 beta chain (MHC class II antigen DRB1*7) (DR-7) (DR7)",HLA-DRB1,Homo sapiens (Human),266
Q30134,2B18_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-8 beta chain (MHC class II antigen DRB1*8) (DR-8) (DR8) (DRw8)",HLA-DRB1,Homo sapiens (Human),266
Q9TQE0,2B19_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-9 beta chain (MHC class II antigen DRB1*9) (DR-9) (DR9)",HLA-DRB1,Homo sapiens (Human),266
Q30167,2B1A_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-10 beta chain (DRw10) (MHC class II antigen DRB1*10)",HLA-DRB1,Homo sapiens (Human),266
P20039,2B1B_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-11 beta chain (DR-5) (DR5) (DRw11) (MHC class II antigen DRB1*11)",HLA-DRB1,Homo sapiens (Human),266
Q95IE3,2B1C_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-12 beta chain (MHC class II antigen DRB1*12) (DR-12) (DR12)",HLA-DRB1,Homo sapiens (Human),266
Q5Y7A7,2B1D_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-13 beta chain (MHC class II antigen DRB1*13) (DR-13) (DR13)",HLA-DRB1,Homo sapiens (Human),266
Q9GIY3,2B1E_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-14 beta chain (MHC class II antigen DRB1*14) (DR-14) (DR14)",HLA-DRB1,Homo sapiens (Human),266
P01911,2B1F_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-15 beta chain (DW2.2/DR2.2) (MHC class II antigen DRB1*15)",HLA-DRB1 HLA-DRB2,Homo sapiens (Human),266
Q29974,2B1G_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-16 beta chain (MHC class II antigen DRB1*16) (DR-16) (DR16)",HLA-DRB1,Homo sapiens (Human),266
P46098,5HT3A_HUMAN,reviewed,5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor),HTR3A 5HT3R HTR3,Homo sapiens (Human),478
O95264,5HT3B_HUMAN,reviewed,5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B),HTR3B,Homo sapiens (Human),441
Q8WXA8,5HT3C_HUMAN,reviewed,5-hydroxytryptamine receptor 3C (5-HT3-C) (5-HT3C) (Serotonin receptor 3C),HTR3C,Homo sapiens (Human),447
Q70Z44,5HT3D_HUMAN,reviewed,5-hydroxytryptamine receptor 3D (5-HT3-D) (5-HT3D) (Serotonin receptor 3D),HTR3D,Homo sapiens (Human),454
A5X5Y0,5HT3E_HUMAN,reviewed,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E),HTR3E,Homo sapiens (Human),456
P21589,5NTD_HUMAN,reviewed,5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73),NT5E NT5 NTE,Homo sapiens (Human),574
P05408,7B2_HUMAN,reviewed,Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide],SCG5 SGNE1,Homo sapiens (Human),212
P02763,A1AG1_HUMAN,reviewed,Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1),ORM1 AGP1,Homo sapiens (Human),201
P19652,A1AG2_HUMAN,reviewed,Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2),ORM2 AGP2,Homo sapiens (Human),201
P20848,A1ATR_HUMAN,reviewed,Putative alpha-1-antitrypsin-related protein (Serpin A2),SERPINA2 ARGS ATR PIL,Homo sapiens (Human),420
P01009,A1AT_HUMAN,reviewed,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],SERPINA1 AAT PI PRO0684 PRO2209,Homo sapiens (Human),418
P04217,A1BG_HUMAN,reviewed,Alpha-1B-glycoprotein (Alpha-1-B glycoprotein),A1BG,Homo sapiens (Human),495
P08697,A2AP_HUMAN,reviewed,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),SERPINF2 AAP PLI,Homo sapiens (Human),491
P02750,A2GL_HUMAN,reviewed,Leucine-rich alpha-2-glycoprotein (LRG),LRG1 LRG,Homo sapiens (Human),347
P01023,A2MG_HUMAN,reviewed,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),A2M CPAMD5 FWP007,Homo sapiens (Human),1474
A8K2U0,A2ML1_HUMAN,reviewed,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),A2ML1 CPAMD9,Homo sapiens (Human),1454
P05067,A4_HUMAN,reviewed,Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],APP A4 AD1,Homo sapiens (Human),770
P01011,AACT_HUMAN,reviewed,Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less],SERPINA3 AACT GIG24 GIG25,Homo sapiens (Human),423
Q6UXT9,ABH15_HUMAN,reviewed,Abhydrolase domain-containing protein 15 (EC 3.1.1.-),ABHD15 UNQ6510/PRO21435,Homo sapiens (Human),468
P19801,ABP1_HUMAN,reviewed,Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein) (ABP) (Histaminase) (Kidney amine oxidase) (KAO),ABP1 AOC1 DAO1,Homo sapiens (Human),751
Q9BYF1,ACE2_HUMAN,reviewed,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2 UNQ868/PRO1885,Homo sapiens (Human),805
P22303,ACES_HUMAN,reviewed,Acetylcholinesterase (AChE) (EC 3.1.1.7),ACHE,Homo sapiens (Human),614
P12821,ACE_HUMAN,reviewed,"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",ACE DCP DCP1,Homo sapiens (Human),1306
Q9GZZ6,ACH10_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-10 (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10),CHRNA10 NACHRA10,Homo sapiens (Human),450
Q15822,ACHA2_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-2,CHRNA2,Homo sapiens (Human),529
P32297,ACHA3_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-3,CHRNA3 NACHRA3,Homo sapiens (Human),505
P43681,ACHA4_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4 NACRA4,Homo sapiens (Human),627
P30532,ACHA5_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-5,CHRNA5 NACHRA5,Homo sapiens (Human),468
Q15825,ACHA6_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-6,CHRNA6,Homo sapiens (Human),494
P36544,ACHA7_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7 NACHRA7,Homo sapiens (Human),502
Q9UGM1,ACHA9_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9),CHRNA9 NACHRA9,Homo sapiens (Human),479
P02708,ACHA_HUMAN,reviewed,Acetylcholine receptor subunit alpha,CHRNA1 ACHRA CHNRA,Homo sapiens (Human),482
P17787,ACHB2_HUMAN,reviewed,Neuronal acetylcholine receptor subunit beta-2,CHRNB2,Homo sapiens (Human),502
Q05901,ACHB3_HUMAN,reviewed,Neuronal acetylcholine receptor subunit beta-3,CHRNB3,Homo sapiens (Human),458
P30926,ACHB4_HUMAN,reviewed,Neuronal acetylcholine receptor subunit beta-4,CHRNB4,Homo sapiens (Human),498
P11230,ACHB_HUMAN,reviewed,Acetylcholine receptor subunit beta,CHRNB1 ACHRB CHRNB,Homo sapiens (Human),501
Q07001,ACHD_HUMAN,reviewed,Acetylcholine receptor subunit delta,CHRND ACHRD,Homo sapiens (Human),517
Q04844,ACHE_HUMAN,reviewed,Acetylcholine receptor subunit epsilon,CHRNE ACHRE,Homo sapiens (Human),493
P07510,ACHG_HUMAN,reviewed,Acetylcholine receptor subunit gamma,CHRNG ACHRG,Homo sapiens (Human),517
Q8TE99,ACPL2_HUMAN,reviewed,Acid phosphatase-like protein 2 (EC 3.1.3.2),ACPL2 UNQ370/PRO706,Homo sapiens (Human),480
Q8NEB7,ACRBP_HUMAN,reviewed,Acrosin-binding protein (Cancer/testis antigen 23) (CT23) (Cancer/testis antigen OY-TES-1) (Proacrosin-binding protein sp32),ACRBP,Homo sapiens (Human),543
P10323,ACRO_HUMAN,reviewed,Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain],ACR ACRS,Homo sapiens (Human),421
P36896,ACV1B_HUMAN,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),ACVR1B ACVRLK4 ALK4,Homo sapiens (Human),505
Q8NER5,ACV1C_HUMAN,reviewed,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),ACVR1C ALK7,Homo sapiens (Human),493
P37023,ACVL1_HUMAN,reviewed,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),ACVRL1 ACVRLK1 ALK1,Homo sapiens (Human),503
Q04771,ACVR1_HUMAN,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),ACVR1 ACVRLK2,Homo sapiens (Human),509
O14672,ADA10_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),ADAM10 KUZ MADM,Homo sapiens (Human),748
O75078,ADA11_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 11 (ADAM 11) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein) (MDC)",ADAM11 MDC,Homo sapiens (Human),769
O43184,ADA12_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12) (EC 3.4.24.-) (Meltrin-alpha),ADAM12 MLTN UNQ346/PRO545,Homo sapiens (Human),909
Q13444,ADA15_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)",ADAM15 MDC15,Homo sapiens (Human),863
P78536,ADA17_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),ADAM17 CSVP TACE,Homo sapiens (Human),824
Q9Y3Q7,ADA18_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 18 (ADAM 18) (Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein III) (tMDC III)",ADAM18 TMDC3 UNQ858/PRO1867,Homo sapiens (Human),739
Q9H013,ADA19_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker) (MADDAM),ADAM19 MLTNB FKSG34,Homo sapiens (Human),955
O43506,ADA20_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 20 (ADAM 20) (EC 3.4.24.-),ADAM20,Homo sapiens (Human),726
Q9UKJ8,ADA21_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 21 (ADAM 21) (EC 3.4.24.-),ADAM21,Homo sapiens (Human),722
Q9P0K1,ADA22_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)",ADAM22 MDC2,Homo sapiens (Human),906
O75077,ADA23_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)",ADAM23 MDC3,Homo sapiens (Human),832
Q9UKQ2,ADA28_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymial metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L) (MDC-L)",ADAM28 ADAM23 MDCL,Homo sapiens (Human),775
Q9UKF5,ADA29_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 29 (ADAM 29) (Cancer/testis antigen 73) (CT73),ADAM29,Homo sapiens (Human),820
Q9UKF2,ADA30_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-),ADAM30 UNQ2509/PRO5997,Homo sapiens (Human),790
