Accession,Description,Norm Avg Ratio
P49768,Presenilin-1,1.556598036
Q9P273,Teneurin-3,1.552436264
Q6PIU2,Neutral cholesterol ester hydrolase 1,1.548757681
Q5T9L3,Protein wntless homolog,1.538497836
Q969N2,GPI transamidase component PIG-T,1.536172393
Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,1.526601701
P61009,Signal peptidase complex subunit 3,1.524271112
Q96KA5,Cleft lip and palate transmembrane protein 1-like protein,1.518911226
P67812,Signal peptidase complex catalytic subunit SEC11A,1.518511402
Q9H173,Nucleotide exchange factor SIL1,1.515421471
Q92508,Protein PIEZO1,1.514072612
Q8IUH4,Palmitoyltransferase ZDHHC13,1.509173953
Q99538,Legumain,1.509020261
O14656,Torsin-1A,1.50800668
Q6P4Q7,Metal transporter CNNM4,1.507678665
Q13217,DnaJ homolog subfamily C member 3,1.503798333
Q14435,Polypeptide N-acetylgalactosaminyltransferase 3,1.500629454
Q13795,ADP-ribosylation factor-related protein 1,1.496885077
O94886,Transmembrane protein 63A,1.490175554
P26572,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1.486106046
Q4KMQ2,Anoctamin-6,1.4845962
Q9NZZ3,Charged multivesicular body protein 5,1.48169723
Q96KC8,DnaJ homolog subfamily C member 1,1.477762092
Q9C0H2,Protein tweety homolog 3,1.473649255
Q9Y3A6,Transmembrane emp24 domain-containing protein 5,1.471697956
Q9Y6M0,Testisin,1.466621205
P01130,Low-density lipoprotein receptor,1.455950309
P31350,Ribonucleoside-diphosphate reductase subunit M2,1.450164824
P49961,Ectonucleoside triphosphate diphosphohydrolase 1,1.449524339
Q9Y2T2,AP-3 complex subunit mu-1,1.448489708
Q14165,Malectin,1.445132438
Q86UN3,Reticulon-4 receptor-like 2,1.438033643
Q9ULH0,Kinase D-interacting substrate of 220 kDa,1.432906906
Q5T1M5,FK506-binding protein 15,1.422023898
O60486,Plexin-C1,1.421434473
P50897,Palmitoyl-protein thioesterase 1,1.417957552
Q8NBZ7,UDP-glucuronic acid decarboxylase 1,1.415484216
Q92572,AP-3 complex subunit sigma-1,1.414156476
P55196,Afadin,1.413441916
P48960,CD97 antigen,1.413206986
Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,1.411858019
Q12913,Receptor-type tyrosine-protein phosphatase eta,1.411408321
Q86X29,Lipolysis-stimulated lipoprotein receptor,1.410744719
P15291,"Beta-1,4-galactosyltransferase 1",1.406796676
Q86Y39,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,1.397898389
Q5JTJ3,Uncharacterized protein C1orf31,1.397505091
P23470,Receptor-type tyrosine-protein phosphatase gamma,1.397067884
Q9NPA0,UPF0480 protein C15orf24,1.395427945
P42892,Endothelin-converting enzyme 1,1.38790755
Q13443,Disintegrin and metalloproteinase domain-containing protein 9,1.386116271
Q99805,Transmembrane 9 superfamily member 2,1.38571793
Q8NE01,Metal transporter CNNM3,1.384969027
O14672,Disintegrin and metalloproteinase domain-containing protein 10,1.379713591
Q6IAN0,Dehydrogenase/reductase SDR family member 7B,1.376785029
Q7KYR7,Butyrophilin subfamily 2 member A1,1.36824293
Q9H1E5,Thioredoxin-related transmembrane protein 4,1.36488875
P19022,Cadherin-2,1.361807243
Q0VGL1,UPF0539 protein C7orf59,1.36097816
Q7LGA3,Heparan sulfate 2-O-sulfotransferase 1,1.35725923
O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,1.355710804
P28068,"HLA class II histocompatibility antigen, DM beta chain",1.35451723
Q96RQ1,Endoplasmic reticulum-Golgi intermediate compartment protein 2,1.354313276
P05107,Integrin beta-2,1.353036249
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,1.352480223
Q9BS26,Endoplasmic reticulum resident protein 44,1.352254997
Q8NBN7,Retinol dehydrogenase 13,1.350000023
O95865,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",1.348061013
P51790,H(+)/Cl(-) exchange transporter 3,1.341240054
P22001,Potassium voltage-gated channel subfamily A member 3,1.338557648
Q8IYS2,Uncharacterized protein KIAA2013,1.33831212
O14929,Histone acetyltransferase type B catalytic subunit,1.338115047
Q8IW52,SLIT and NTRK-like protein 4,1.336071495
Q9BTV4,Transmembrane protein 43,1.330767059
Q15392,Delta(24)-sterol reductase,1.328479611
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,1.325954617
P15586,N-acetylglucosamine-6-sulfatase,1.322017077
O75915,PRA1 family protein 3,1.319002993
Q9NZD8,Maspardin,1.315640808
P08574,"Cytochrome c1, heme protein, mitochondrial",1.315593295
P05556,Integrin beta-1,1.315458751
Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,1.315405493
P62330,ADP-ribosylation factor 6,1.31409332
Q8IWA0,WD repeat-containing protein 75,1.308910937
Q9UHA4,Ragulator complex protein LAMTOR3,1.307911913
O15126,Secretory carrier-associated membrane protein 1,1.307632159
Q9NZ53,Podocalyxin-like protein 2,1.304317118
P51648,Fatty aldehyde dehydrogenase,1.303099492
O60499,Syntaxin-10,1.303017027
O94973,AP-2 complex subunit alpha-2,1.302754615
P01834,Ig kappa chain C region,1.302240819
P34910,Protein EVI2B,1.29696913
Q969X5,Endoplasmic reticulum-Golgi intermediate compartment protein 1,1.296849479
P43897,"Elongation factor Ts, mitochondrial",1.291912231
Q8IWT6,Leucine-rich repeat-containing protein 8A,1.28933961
Q9UBV2,Protein sel-1 homolog 1,1.287636341
P53680,AP-2 complex subunit sigma,1.284349454
P78357,Contactin-associated protein 1,1.282287231
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",1.281065851
Q86V81,THO complex subunit 4,1.28088005
O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",1.278078326
P04439,"HLA class I histocompatibility antigen, A-3 alpha chain",1.275153482
Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1,1.274967396
P49257,Protein ERGIC-53,1.273563233
Q15021,Condensin complex subunit 1,1.271809941
P62875,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1.27067265
P46092,C-C chemokine receptor type 10,1.270336193
Q7Z434,Mitochondrial antiviral-signaling protein,1.269609095
P15153,Ras-related C3 botulinum toxin substrate 2,1.267856535
Q92581,Sodium/hydrogen exchanger 6,1.264395866
Q86X55,Histone-arginine methyltransferase CARM1,1.261735388
Q9UP95,Solute carrier family 12 member 4,1.261400639
P63010,AP-2 complex subunit beta,1.260954136
P51809,Vesicle-associated membrane protein 7,1.260037931
Q8TBA6,Golgin subfamily A member 5,1.259671232
Q86YS6,Ras-related protein Rab-43,1.256292528
Q5SGD2,Protein phosphatase 1L,1.255062227
P05362,Intercellular adhesion molecule 1,1.253071237
O43504,Hepatitis B virus X-interacting protein,1.252670054
Q9UHG3,Prenylcysteine oxidase 1,1.252001958
Q4VC31,Coiled-coil domain-containing protein 58,1.251459466
Q06124,Tyrosine-protein phosphatase non-receptor type 11,1.25118737
Q9BW72,HIG1 domain family member 2A,1.250842218
O14617,AP-3 complex subunit delta-1,1.250734521
Q9BVK6,Transmembrane emp24 domain-containing protein 9,1.250326299
P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,1.250210354
Q3SXY8,ADP-ribosylation factor-like protein 13B,1.24571087
Q06136,3-ketodihydrosphingosine reductase,1.243538237
O95249,Golgi SNAP receptor complex member 1,1.240458599
P43121,Cell surface glycoprotein MUC18,1.237544742
Q7L1W4,Leucine-rich repeat-containing protein 8D,1.237148741
Q68CZ2,Tensin-3,1.23683589
Q15043,Zinc transporter ZIP14,1.233532909
Q9UBS4,DnaJ homolog subfamily B member 11,1.232929623
Q7L1V2,Vacuolar fusion protein MON1 homolog B,1.232900793
P11279,Lysosome-associated membrane glycoprotein 1,1.23096627
O60341,Lysine-specific histone demethylase 1A,1.230710815
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",1.230186534
Q96AJ9,Vesicle transport through interaction with t-SNAREs homolog 1A,1.229436617
Q92974,Rho guanine nucleotide exchange factor 2,1.228694851
Q9HD45,Transmembrane 9 superfamily member 3,1.226213075
Q16698,"2,4-dienoyl-CoA reductase, mitochondrial",1.224903405
O00203,AP-3 complex subunit beta-1,1.223285141
O60266,Adenylate cyclase type 3,1.222940264
P63000,Ras-related C3 botulinum toxin substrate 1,1.221234827
Q86Y82,Syntaxin-12,1.220357207
P98194,Calcium-transporting ATPase type 2C member 1,1.219656882
P02786,Transferrin receptor protein 1,1.217821957
Q96EP5,DAZ-associated protein 1,1.215289629
Q99674,Cell growth regulator with EF hand domain protein 1,1.213671752
Q08722,Leukocyte surface antigen CD47,1.211205764
Q92922,SWI/SNF complex subunit SMARCC1,1.210532556
Q6IAA8,Ragulator complex protein LAMTOR1,1.207660109
P23458,Tyrosine-protein kinase JAK1,1.204943324
Q8WVC6,Dephospho-CoA kinase domain-containing protein,1.204674464
Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2,1.20293678
P07339,Cathepsin D,1.20284591
O75947,"ATP synthase subunit d, mitochondrial",1.201593092
Q9P265,Disco-interacting protein 2 homolog B,1.199002997
Q9H0U3,Magnesium transporter protein 1,1.198235822
Q5JTV8,Torsin-1A-interacting protein 1,1.197405302
O43491,Band 4.1-like protein 2,1.197161502
Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,1.197125206
P27449,V-type proton ATPase 16 kDa proteolipid subunit,1.193301972
Q9BUL8,Programmed cell death protein 10,1.191666077
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,1.1906978
Q9UIQ6,Leucyl-cystinyl aminopeptidase,1.190456106
Q8NDZ4,UPF0672 protein C3orf58,1.189916548
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial",1.189253889
Q9Y4P1,Cysteine protease ATG4B,1.189251115
Q15005,Signal peptidase complex subunit 2,1.188684845
P49755,Transmembrane emp24 domain-containing protein 10,1.186707082
P51149,Ras-related protein Rab-7a,1.184326744
Q13952,Nuclear transcription factor Y subunit gamma,1.184052542
Q9UDW1,Cytochrome b-c1 complex subunit 9,1.181505777
Q5HYI8,Rab-like protein 3,1.180520414
O95716,Ras-related protein Rab-3D,1.179794708
Q9Y5Y6,Suppressor of tumorigenicity 14 protein,1.178480384
Q96L58,"Beta-1,3-galactosyltransferase 6",1.178461897
P51798,H(+)/Cl(-) exchange transporter 7,1.177353178
O14828,Secretory carrier-associated membrane protein 3,1.177339101
Q92544,Transmembrane 9 superfamily member 4,1.174509704
Q04656,Copper-transporting ATPase 1,1.174374084
Q6ZMU5,Tripartite motif-containing protein 72,1.173358655
Q8NBN3,Transmembrane protein 87A,1.172187064
Q8TCG2,Phosphatidylinositol 4-kinase type 2-beta,1.171394821
Q96CW1,AP-2 complex subunit mu,1.171002454
Q93050,V-type proton ATPase 116 kDa subunit a isoform 1,1.169378781
Q8N697,Solute carrier family 15 member 4,1.168613264
Q13438,Protein OS-9,1.167837393
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,1.167189869
P46939,Utrophin,1.166219732
Q9Y263,Phospholipase A-2-activating protein,1.166024454
Q6NXT4,Zinc transporter 6,1.161393183
Q8TAD7,Overexpressed in colon carcinoma 1 protein,1.159111049
Q9Y584,Mitochondrial import inner membrane translocase subunit Tim22,1.158503338
Q9NQ11,Probable cation-transporting ATPase 13A2,1.157402915
P05771,Protein kinase C beta type,1.156871718
Q9UM54,Myosin-VI,1.154682805
Q6DD88,Atlastin-3,1.153058529
O60216,Double-strand-break repair protein rad21 homolog,1.151987136
P98082,Disabled homolog 2,1.14996194
P60033,CD81 antigen,1.148978816
Q9BSA9,Transmembrane protein 175,1.148617102
Q9Y5J9,Mitochondrial import inner membrane translocase subunit Tim8 B,1.148315281
P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",1.148017533
P55145,Mesencephalic astrocyte-derived neurotrophic factor,1.146928012
Q9NYM9,BET1-like protein,1.146706262
Q8N9N7,Leucine-rich repeat-containing protein 57,1.145863812
P54819,"Adenylate kinase 2, mitochondrial",1.145348441
P20340,Ras-related protein Rab-6A,1.144688416
P63261,"Actin, cytoplasmic 2",1.14446319
O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2,1.143702448
Q96DM3,Uncharacterized protein C18orf8,1.143334243
P09132,Signal recognition particle 19 kDa protein,1.142673668
O00560,Syntenin-1,1.142337623
Q9H9H4,Vacuolar protein sorting-associated protein 37B,1.141169265
Q9NU22,Midasin,1.141000345
Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,1.140411659
Q9HDC9,Adipocyte plasma membrane-associated protein,1.13874105
P25445,Tumor necrosis factor receptor superfamily member 6,1.136274111
Q96S66,Chloride channel CLIC-like protein 1,1.135217086
O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",1.134403255
O75179,Ankyrin repeat domain-containing protein 17,1.133603089
Q15363,Transmembrane emp24 domain-containing protein 2,1.133455285
Q9BXP2,Solute carrier family 12 member 9,1.132726326
O75131,Copine-3,1.132385463
Q12974,Protein tyrosine phosphatase type IVA 2,1.130353241
Q9UNK0,Syntaxin-8,1.130345517
P03915,NADH-ubiquinone oxidoreductase chain 5,1.130298287
Q9BTT6,Leucine-rich repeat-containing protein 1,1.129591257
Q96GS4,Uncharacterized protein C17orf59,1.129574763
P61966,AP-1 complex subunit sigma-1A,1.128043314
Q9H444,Charged multivesicular body protein 4b,1.127963978
Q9BQ95,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",1.1271741
P34741,Syndecan-2,1.125297892
Q7Z3C6,Autophagy-related protein 9A,1.125241644
O00165,HCLS1-associated protein X-1,1.125178241
Q96FN4,Copine-2,1.125079705
Q9HB90,Ras-related GTP-binding protein C,1.124707811
P40189,Interleukin-6 receptor subunit beta,1.123774148
P61960,Ubiquitin-fold modifier 1,1.122803365
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A,1.121808019
Q9Y5Z9,UbiA prenyltransferase domain-containing protein 1,1.120209199
Q9NRA2,Sialin,1.119639777
Q9UQ13,Leucine-rich repeat protein SHOC-2,1.119179984
Q9UEU0,Vesicle transport through interaction with t-SNAREs homolog 1B,1.11887896
Q9BYI3,Hyccin,1.117788023
P61421,V-type proton ATPase subunit d 1,1.116684761
Q9Y4D7,Plexin-D1,1.115563539
Q9BSJ8,Extended synaptotagmin-1,1.115359809
Q9Y289,Sodium-dependent multivitamin transporter,1.115127545
O95573,Long-chain-fatty-acid--CoA ligase 3,1.114923434
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,1.114430753
O43847,Nardilysin,1.113595199
Q8NBJ7,Sulfatase-modifying factor 2,1.113417237
P32246,C-C chemokine receptor type 1,1.113110973
P20073,Annexin A7,1.113093476
Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1.112826613
P17152,"Transmembrane protein 11, mitochondrial",1.112652821
P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",1.111711715
Q86UL3,Glycerol-3-phosphate acyltransferase 4,1.11073749
O75165,DnaJ homolog subfamily C member 13,1.109898086
Q9H7F0,Probable cation-transporting ATPase 13A3,1.109427428
Q9BXS4,Transmembrane protein 59,1.109004222
Q96A26,Protein FAM162A,1.107899208
Q86TM6,E3 ubiquitin-protein ligase synoviolin,1.10650813
Q92820,Gamma-glutamyl hydrolase,1.106496806
Q96A33,Coiled-coil domain-containing protein 47,1.106160748
Q9NZ08,Endoplasmic reticulum aminopeptidase 1,1.105435802
O43681,ATPase ASNA1,1.105411931
P40616,ADP-ribosylation factor-like protein 1,1.105147232
Q9UBV8,Peflin,1.105111709
P61020,Ras-related protein Rab-5B,1.104929045
P46459,Vesicle-fusing ATPase,1.104771306
O60353,Frizzled-6,1.104715506
P00387,NADH-cytochrome b5 reductase 3,1.103615748
P00403,Cytochrome c oxidase subunit 2,1.103063894
Q9UHB6,LIM domain and actin-binding protein 1,1.101515162
Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13,1.101318216
P84095,Rho-related GTP-binding protein RhoG,1.101191706
Q13510,Acid ceramidase,1.100712578
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",1.100459722
Q9H4G0,Band 4.1-like protein 1,1.100224594
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,1.09991604
Q9BXS5,AP-1 complex subunit mu-1,1.099671433
P50402,Emerin,1.09943213
P08240,Signal recognition particle receptor subunit alpha,1.097868887
Q9Y2Q5,Ragulator complex protein LAMTOR2,1.097454367
P18433,Receptor-type tyrosine-protein phosphatase alpha,1.096785728
Q9NZW5,MAGUK p55 subfamily member 6,1.096486656
Q14699,Raftlin,1.096370469
Q96A29,GDP-fucose transporter 1,1.095433755
P48651,Phosphatidylserine synthase 1,1.09517939
Q9H078,Caseinolytic peptidase B protein homolog,1.093006044
P61225,Ras-related protein Rap-2b,1.09234456
P17252,Protein kinase C alpha type,1.091738397
P33121,Long-chain-fatty-acid--CoA ligase 1,1.091547467
Q9H0U4,Ras-related protein Rab-1B,1.091359197
Q7Z5G4,Golgin subfamily A member 7,1.090181542
P54709,Sodium/potassium-transporting ATPase subunit beta-3,1.089354475
O95070,Protein YIF1A,1.088755025
Q15771,Ras-related protein Rab-30,1.088658847
O14662,Syntaxin-16,1.088242448
Q99653,Calcium-binding protein p22,1.088099465
Q14160,Protein scribble homolog,1.087671127
O15258,Protein RER1,1.086671688
Q8NHH9,Atlastin-2,1.086235349
P50995,Annexin A11,1.085531483
P51159,Ras-related protein Rab-27A,1.085144376
Q9Y2G3,Probable phospholipid-transporting ATPase IF,1.084910438
O00161,Synaptosomal-associated protein 23,1.084752817
O95487,Protein transport protein Sec24B,1.084729162
O00566,U3 small nucleolar ribonucleoprotein protein MPP10,1.08415519
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",1.084055173
O15400,Syntaxin-7,1.083821175
Q68DH5,LMBR1 domain-containing protein 2,1.083749187
P04066,Tissue alpha-L-fucosidase,1.083160433
P13987,CD59 glycoprotein,1.082658673
P48449,Lanosterol synthase,1.082431386
Q6P4E1,Protein CASC4,1.082140867
Q9BYD3,"39S ribosomal protein L4, mitochondrial",1.081775153
Q13445,Transmembrane emp24 domain-containing protein 1,1.081639301
O95292,Vesicle-associated membrane protein-associated protein B/C,1.080696714
Q14254,Flotillin-2,1.08065417
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,1.080625517
Q9NXE4,Sphingomyelin phosphodiesterase 4,1.079220207
A6NHL2,Tubulin alpha chain-like 3,1.078792712
P51571,Translocon-associated protein subunit delta,1.078514295
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog,1.078352414
P57088,Transmembrane protein 33,1.077726005
Q14690,Protein RRP5 homolog,1.077480711
Q13601,KRR1 small subunit processome component homolog,1.077437064
Q5W111,Chronic lymphocytic leukemia deletion region gene 6 protein,1.076277248
P62834,Ras-related protein Rap-1A,1.075973468
Q8WZA0,Protein LZIC,1.075905368
P98198,Probable phospholipid-transporting ATPase ID,1.075748242
P61019,Ras-related protein Rab-2A,1.073379817
Q9NRR3,CDC42 small effector protein 2,1.073271641
Q96FZ7,Charged multivesicular body protein 6,1.071772337
Q13425,Beta-2-syntrophin,1.070268334
Q9Y385,Ubiquitin-conjugating enzyme E2 J1,1.0701176
Q99747,Gamma-soluble NSF attachment protein,1.069694098
Q03518,Antigen peptide transporter 1,1.069470076
Q9UI12,V-type proton ATPase subunit H,1.069265965
O95831,"Apoptosis-inducing factor 1, mitochondrial",1.06870994
P18859,"ATP synthase-coupling factor 6, mitochondrial",1.068386178
Q9NWQ8,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,1.06820572
P61769,Beta-2-microglobulin,1.068076492
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,1.067569735
P07947,Tyrosine-protein kinase Yes,1.066140408
O75746,Calcium-binding mitochondrial carrier protein Aralar1,1.066131331
Q96RT1,Protein LAP2,1.066112806
P20339,Ras-related protein Rab-5A,1.066098729
O75964,"ATP synthase subunit g, mitochondrial",1.066096594
Q9P035,3-hydroxyacyl-CoA dehydratase 3,1.06509929
P01111,GTPase NRas,1.06493976
Q9Y639,Neuroplastin,1.064739186
Q8TBP6,Solute carrier family 25 member 40,1.064372451
Q9UBM7,7-dehydrocholesterol reductase,1.064261732
Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,1.064023359
P07437,Tubulin beta chain,1.063174519
Q9NPD3,Exosome complex component RRP41,1.062881742
P52292,Importin subunit alpha-2,1.062790597
Q00535,Cyclin-dependent kinase 5,1.062713306
Q86SF2,N-acetylgalactosaminyltransferase 7,1.062671144
Q96TA2,ATP-dependent zinc metalloprotease YME1L1,1.061937691
P30519,Heme oxygenase 2,1.06103819
Q9ULF5,Zinc transporter ZIP10,1.0606697
Q8WXF1,Paraspeckle component 1,1.059581261
Q8NF37,Lysophosphatidylcholine acyltransferase 1,1.059420507
Q8IXH7,Negative elongation factor C/D,1.059117707
P06241,Tyrosine-protein kinase Fyn,1.058916471
P55011,Solute carrier family 12 member 2,1.058850047
P56182,Ribosomal RNA processing protein 1 homolog A,1.058233562
P78537,Biogenesis of lysosome-related organelles complex 1 subunit 1,1.058046782
Q9NZ43,Vesicle transport protein USE1,1.057711958
P53634,Dipeptidyl peptidase 1,1.057560944
Q6IEE7,Transmembrane protein 132E,1.056160646
Q4G0F5,Vacuolar protein sorting-associated protein 26B,1.056059044
Q9HC21,Mitochondrial thiamine pyrophosphate carrier,1.056005803
Q9H7Z7,Prostaglandin E synthase 2,1.055836884
