Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P11310,ACADM_HUMAN,reviewed,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)",ACADM,Homo sapiens (Human),421
P16219,ACADS_HUMAN,reviewed,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)",ACADS,Homo sapiens (Human),412
P49748,ACADV_HUMAN,reviewed,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)",ACADVL VLCAD,Homo sapiens (Human),655
Q709F0,ACD11_HUMAN,reviewed,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.99.-),ACAD11,Homo sapiens (Human),780
P45954,ACDSB_HUMAN,reviewed,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",ACADSB,Homo sapiens (Human),432
Q9NRP4,ACN9_HUMAN,reviewed,"Protein ACN9 homolog, mitochondrial",ACN9 DC11,Homo sapiens (Human),125
Q9NPJ3,ACO13_HUMAN,reviewed,Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Thioesterase superfamily member 2),ACOT13 THEM2 HT012 PNAS-27,Homo sapiens (Human),140
Q99798,ACON_HUMAN,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",ACO2,Homo sapiens (Human),780
P49753,ACOT2_HUMAN,reviewed,"Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)",ACOT2 PTE2 PTE2A,Homo sapiens (Human),483
Q9Y305,ACOT9_HUMAN,reviewed,"Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)",ACOT9 CGI-16,Homo sapiens (Human),439
O14561,ACPM_HUMAN,reviewed,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",NDUFAB1,Homo sapiens (Human),156
Q08AH3,ACS2A_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2A) (Butyrate--CoA ligase 2A) (Butyryl-coenzyme A synthetase 2A) (Middle-chain acyl-CoA synthetase 2A)",ACSM2A ACSM2 MACS2,Homo sapiens (Human),577
Q68CK6,ACS2B_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)",ACSM2B ACSM2 HYST1046,Homo sapiens (Human),577
Q9NUB1,ACS2L_HUMAN,reviewed,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1)",ACSS1 ACAS2L KIAA1846,Homo sapiens (Human),689
Q96CM8,ACSF2_HUMAN,reviewed,"Acyl-CoA synthetase family member 2, mitochondrial (EC 6.2.1.-)",ACSF2 UNQ493/PRO1009,Homo sapiens (Human),615
Q4G176,ACSF3_HUMAN,reviewed,"Acyl-CoA synthetase family member 3, mitochondrial (EC 6.2.1.-)",ACSF3 PSEC0197,Homo sapiens (Human),576
P33121,ACSL1_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2),ACSL1 FACL1 FACL2 LACS LACS1 LACS2,Homo sapiens (Human),698
O95573,ACSL3_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 3) (LACS 3),ACSL3 ACS3 FACL3 LACS3,Homo sapiens (Human),720
O60488,ACSL4_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4),ACSL4 ACS4 FACL4 LACS4,Homo sapiens (Human),711
Q9ULC5,ACSL5_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5),ACSL5 ACS5 FACL5 UNQ633/PRO1250,Homo sapiens (Human),683
Q9UKU0,ACSL6_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6),ACSL6 ACS2 FACL6 KIAA0837 LACS5,Homo sapiens (Human),697
Q08AH1,ACSM1_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1)",ACSM1 BUCS1 LAE MACS1,Homo sapiens (Human),577
Q53FZ2,ACSM3_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Protein SA homolog)",ACSM3 SAH,Homo sapiens (Human),586
P0C7M7,ACSM4_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)",ACSM4,Homo sapiens (Human),580
Q6NUN0,ACSM5_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 5)",ACSM5 MACS3,Homo sapiens (Human),579
Q6P461,ACSM6_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM6, mitochondrial (EC 6.2.1.2)",ACSM6 C10orf129,Homo sapiens (Human),480
Q9H6R3,ACSS3_HUMAN,reviewed,"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acyl-CoA synthetase short-chain family member 3)",ACSS3,Homo sapiens (Human),686
Q8NI60,ADCK3_HUMAN,reviewed,"Chaperone activity of bc1 complex-like, mitochondrial (Chaperone-ABC1-like) (EC 2.7.11.-) (aarF domain-containing protein kinase 3)",ADCK3 CABC1 PP265,Homo sapiens (Human),647
P22570,ADRO_HUMAN,reviewed,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.2) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",FDXR ADXR,Homo sapiens (Human),491
P12235,ADT1_HUMAN,reviewed,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",SLC25A4 ANT1,Homo sapiens (Human),298
P05141,ADT2_HUMAN,reviewed,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5)",SLC25A5 ANT2,Homo sapiens (Human),298
P12236,ADT3_HUMAN,reviewed,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6)",SLC25A6 ANT3 CDABP0051,Homo sapiens (Human),298
Q9H0C2,ADT4_HUMAN,reviewed,"ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31) (Sperm flagellar energy carrier protein)",SLC25A31 AAC4 ANT4 SFEC,Homo sapiens (Human),315
Q6P4F2,ADXL_HUMAN,reviewed,"Adrenodoxin-like protein, mitochondrial (Ferredoxin-1-like protein)",FDX1L,Homo sapiens (Human),183
P10109,ADX_HUMAN,reviewed,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",FDX1 ADX,Homo sapiens (Human),184
Q9Y4W6,AFG32_HUMAN,reviewed,AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein),AFG3L2,Homo sapiens (Human),797
Q53H12,AGK_HUMAN,reviewed,"Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)",AGK MULK,Homo sapiens (Human),422
Q9BYV1,AGT2_HUMAN,reviewed,"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)",AGXT2 AGT2,Homo sapiens (Human),514
O95831,AIFM1_HUMAN,reviewed,"Apoptosis-inducing factor 1, mitochondrial (EC 1.-.-.-) (Programmed cell death protein 8)",AIFM1 AIF PDCD8,Homo sapiens (Human),613
Q9BRQ8,AIFM2_HUMAN,reviewed,Apoptosis-inducing factor 2 (EC 1.-.-.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (Apoptosis-inducing factor-like mitochondrion-associated inducer of death) (p53-responsive gene 3 protein),AIFM2 AMID PRG3,Homo sapiens (Human),373
Q96NN9,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605
O43572,AKA10_HUMAN,reviewed,"A-kinase anchor protein 10, mitochondrial (AKAP-10) (Dual specificity A kinase-anchoring protein 2) (D-AKAP-2) (Protein kinase A-anchoring protein 10) (PRKA10)",AKAP10,Homo sapiens (Human),662
Q92667,AKAP1_HUMAN,reviewed,"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)",AKAP1 AKAP149 PRKA1,Homo sapiens (Human),903
P30837,AL1B1_HUMAN,reviewed,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1 ALDH5 ALDHX,Homo sapiens (Human),517
Q3SY69,AL1L2_HUMAN,reviewed,Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2),ALDH1L2,Homo sapiens (Human),923
P30038,AL4A1_HUMAN,reviewed,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.5.1.12) (Aldehyde dehydrogenase family 4 member A1)",ALDH4A1 ALDH4 P5CDH,Homo sapiens (Human),563
P49419,AL7A1_HUMAN,reviewed,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase),ALDH7A1 ATQ1,Homo sapiens (Human),539
P05091,ALDH2_HUMAN,reviewed,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",ALDH2 ALDM,Homo sapiens (Human),517
Q13686,ALKB1_HUMAN,reviewed,Alkylated DNA repair protein alkB homolog 1 (EC 1.14.11.33) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1),ALKBH1 ABH ABH1 ALKBH,Homo sapiens (Human),389
P55789,ALR_HUMAN,reviewed,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin),GFER ALR HERV1 HPO,Homo sapiens (Human),205
Q9UHK6,AMACR_HUMAN,reviewed,Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase),AMACR,Homo sapiens (Human),382
Q6UB28,AMP1D_HUMAN,reviewed,"Methionine aminopeptidase 1D, mitochondrial (EC 3.4.11.18) (Methionyl aminopeptidase type 1D, mitochondrial)",METAP1D MAP1D,Homo sapiens (Human),335
P04294,AN_HHV11,reviewed,Alkaline nuclease (EC 3.1.-.-),UL12,Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1),626
P21397,AOFA_HUMAN,reviewed,Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),MAOA,Homo sapiens (Human),527
P27338,AOFB_HUMAN,reviewed,Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),MAOB,Homo sapiens (Human),520
P27695,APEX1_HUMAN,reviewed,"DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens (Human),318
Q9UBZ4,APEX2_HUMAN,reviewed,DNA-(apurinic or apyrimidinic site) lyase 2 (EC 3.1.-.-) (EC 4.2.99.18) (AP endonuclease XTH2) (APEX nuclease 2) (APEX nuclease-like 2) (Apurinic-apyrimidinic endonuclease 2) (AP endonuclease 2),APEX2 APE2 APEXL2 XTH2,Homo sapiens (Human),518
Q96IL0,APOP1_HUMAN,reviewed,"Apoptogenic protein 1, mitochondrial (APOP-1)",APOPT1 APOP1 C14orf153,Homo sapiens (Human),206
Q13794,APR_HUMAN,reviewed,Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa),PMAIP1 NOXA,Homo sapiens (Human),54
Q9Y2Y0,AR2BP_HUMAN,reviewed,ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (Binder of ARF2 protein 1),ARL2BP BART BART1,Homo sapiens (Human),163
P78540,ARGI2_HUMAN,reviewed,"Arginase-2, mitochondrial (EC 3.5.3.1) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)",ARG2,Homo sapiens (Human),354
P36404,ARL2_HUMAN,reviewed,ADP-ribosylation factor-like protein 2,ARL2,Homo sapiens (Human),184
Q96DX5,ASB9_HUMAN,reviewed,Ankyrin repeat and SOCS box protein 9 (ASB-9),ASB9,Homo sapiens (Human),294
Q8TBG4,AT2L1_HUMAN,reviewed,Alanine--glyoxylate aminotransferase 2-like 1 (EC 2.6.1.-),AGXT2L1,Homo sapiens (Human),499
Q8IUZ5,AT2L2_HUMAN,reviewed,Alanine--glyoxylate aminotransferase 2-like 2 (EC 2.6.1.-),AGXT2L2 PP9286,Homo sapiens (Human),450
Q5VTU8,AT5EL_HUMAN,reviewed,"ATP synthase subunit epsilon-like protein, mitochondrial",ATP5EP2,Homo sapiens (Human),51
P24539,AT5F1_HUMAN,reviewed,"ATP synthase subunit b, mitochondrial (ATPase subunit b)",ATP5F1,Homo sapiens (Human),256
P05496,AT5G1_HUMAN,reviewed,"ATP synthase lipid-binding protein, mitochondrial (ATP synthase proteolipid P1) (ATPase protein 9) (ATPase subunit c)",ATP5G1,Homo sapiens (Human),136
Q06055,AT5G2_HUMAN,reviewed,"ATP synthase lipid-binding protein, mitochondrial (ATP synthase proteolipid P2) (ATPase protein 9) (ATPase subunit c)",ATP5G2 PSEC0033,Homo sapiens (Human),141
P48201,AT5G3_HUMAN,reviewed,"ATP synthase lipid-binding protein, mitochondrial (ATP synthase proteolipid P3) (ATPase protein 9) (ATPase subunit c)",ATP5G3,Homo sapiens (Human),142
Q7Z4Y8,AT5L2_HUMAN,reviewed,"ATP synthase subunit g 2, mitochondrial (ATPase subunit g 2)",ATP5L2 ATP5K2,Homo sapiens (Human),100
Q9UII2,ATIF1_HUMAN,reviewed,"ATPase inhibitor, mitochondrial (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)",ATPIF1 ATPI,Homo sapiens (Human),106
P56381,ATP5E_HUMAN,reviewed,"ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)",ATP5E,Homo sapiens (Human),51
O75947,ATP5H_HUMAN,reviewed,"ATP synthase subunit d, mitochondrial (ATPase subunit d)",ATP5H My032,Homo sapiens (Human),161
P56385,ATP5I_HUMAN,reviewed,"ATP synthase subunit e, mitochondrial (ATPase subunit e)",ATP5I ATP5K,Homo sapiens (Human),69
P18859,ATP5J_HUMAN,reviewed,"ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)",ATP5J ATP5A ATPM,Homo sapiens (Human),108
O75964,ATP5L_HUMAN,reviewed,"ATP synthase subunit g, mitochondrial (ATPase subunit g)",ATP5L,Homo sapiens (Human),103
Q99766,ATP5S_HUMAN,reviewed,"ATP synthase subunit s, mitochondrial (ATP synthase-coupling factor B) (Mitochondrial ATP synthase regulatory component factor B)",ATP5S ATPW,Homo sapiens (Human),215
P00846,ATP6_HUMAN,reviewed,ATP synthase subunit a (F-ATPase protein 6),MT-ATP6 ATP6 ATPASE6 MTATP6,Homo sapiens (Human),226
P35670,ATP7B_HUMAN,reviewed,Copper-transporting ATPase 2 (EC 3.6.3.4) (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa],ATP7B PWD WC1 WND,Homo sapiens (Human),1465
P03928,ATP8_HUMAN,reviewed,ATP synthase protein 8 (A6L) (F-ATPase subunit 8),MT-ATP8 ATP8 ATPASE8 MTATP8,Homo sapiens (Human),68
P25705,ATPA_HUMAN,reviewed,"ATP synthase subunit alpha, mitochondrial",ATP5A1 ATP5A ATP5AL2 ATPM,Homo sapiens (Human),553
P06576,ATPB_HUMAN,reviewed,"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)",ATP5B ATPMB ATPSB,Homo sapiens (Human),529
P30049,ATPD_HUMAN,reviewed,"ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)",ATP5D,Homo sapiens (Human),168
Q5TC12,ATPF1_HUMAN,reviewed,ATP synthase mitochondrial F1 complex assembly factor 1 (ATP11 homolog),ATPAF1 ATP11,Homo sapiens (Human),328
Q8N5M1,ATPF2_HUMAN,reviewed,ATP synthase mitochondrial F1 complex assembly factor 2 (ATP12 homolog),ATPAF2 ATP12 LP3663,Homo sapiens (Human),289
P36542,ATPG_HUMAN,reviewed,"ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)",ATP5C1 ATP5C ATP5CL1,Homo sapiens (Human),298
P56134,ATPK_HUMAN,reviewed,"ATP synthase subunit f, mitochondrial",ATP5J2 ATP5JL,Homo sapiens (Human),94
P48047,ATPO_HUMAN,reviewed,"ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)",ATP5O ATPO,Homo sapiens (Human),213
Q13825,AUHM_HUMAN,reviewed,"Methylglutaconyl-CoA hydratase, mitochondrial (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding protein/enoyl-CoA hydratase)",AUH,Homo sapiens (Human),339
Q07817,B2CL1_HUMAN,reviewed,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),BCL2L1 BCL2L BCLX,Homo sapiens (Human),233
Q92843,B2CL2_HUMAN,reviewed,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W),BCL2L2 BCLW KIAA0271,Homo sapiens (Human),193
Q9HD36,B2L10_HUMAN,reviewed,Bcl-2-like protein 10 (Bcl2-L-10) (Anti-apoptotic protein NrH) (Apoptosis regulator Bcl-B),BCL2L10 BCLB,Homo sapiens (Human),194
O43521,B2L11_HUMAN,reviewed,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),BCL2L11 BIM,Homo sapiens (Human),198
Q9BXK5,B2L13_HUMAN,reviewed,Bcl-2-like protein 13 (Bcl2-L-13) (Bcl-rambo) (Protein Mil1),BCL2L13 MIL1 CD003,Homo sapiens (Human),485
O00154,BACH_HUMAN,reviewed,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),ACOT7 BACH,Homo sapiens (Human),380
Q92934,BAD_HUMAN,reviewed,Bcl2 antagonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-XL/Bcl-2-associated death promoter),BAD BBC6 BCL2L8,Homo sapiens (Human),168
Q16611,BAK_HUMAN,reviewed,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),BAK1 BAK BCL2L7 CDN1,Homo sapiens (Human),211
