Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM?
Q13838,Spliceosome RNA helicase DDX39B,,0.982321635,0.671006708,,,,,
P29084,Transcription initiation factor IIE subunit beta,,1.030613044,,,,,,
P13693,Translationally-controlled tumor protein,,0.974608305,0.769155835,,,,,
P48960,CD97 antigen,1.12766869,1.188127181,1.413206986,,1,,,1
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,,,0.620615205,1,,,1,
P05386,60S acidic ribosomal protein P1,1.232891762,1.033338445,0.601864194,,,,,
P05387,60S acidic ribosomal protein P2,0.984360822,0.999246114,0.672053216,,,,,
P78346,Ribonuclease P protein subunit p30,,1.104959133,,,,,,
P78347,General transcription factor II-I,1.031791574,1.045285598,0.760384632,,,,,
P05388,60S acidic ribosomal protein P0,1.000466581,1.00575468,0.754856611,,,,,
P62979,Ubiquitin-40S ribosomal protein S27a,,,0.673593874,,,,,
Q04323,UBX domain-containing protein 1,,0.898955244,0.639110468,,,,,
Q9NTZ6,RNA-binding protein 12,,0.861909826,,,,,,
P16885,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",0.749082142,,,,,,,
O76021,Ribosomal L1 domain-containing protein 1,0.908382473,1.018980019,0.659172256,,,,,
P52272,Heterogeneous nuclear ribonucleoprotein M,0.986696454,0.91669356,0.63102218,,,,,
A0AVT1,Ubiquitin-like modifier-activating enzyme 6,,1.00588965,,,,,,
Q15369,Transcription elongation factor B polypeptide 1,,1.061452382,0.708227385,,,,,
Q15366,Poly(rC)-binding protein 2,1.00244547,1.034058912,0.714313387,,,,,
Q15365,Poly(rC)-binding protein 1,1.073751666,1.037010487,0.683464611,,,,,
O15258,Protein RER1,0.846052375,1.065881816,1.086671688,,,,,1
Q15363,Transmembrane emp24 domain-containing protein 2,1.104046164,1.08756993,1.133455285,,1,,,
O00400,Acetyl-coenzyme A transporter 1,0.905074178,,,,,,,1
Q969U7,Proteasome assembly chaperone 2,,0.924690217,,,,,,
P29401,Transketolase,1.09041006,0.962739584,0.625663819,,,,,
Q9UMS4,Pre-mRNA-processing factor 19,1.00577986,0.851989391,0.654851774,,,,,
Q9H0S4,Probable ATP-dependent RNA helicase DDX47,,1.070243808,0.700531604,,,,,
Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",,1.034249746,,1,,,,
P35244,Replication protein A 14 kDa subunit,,0.959794367,,,,,,
P39023,60S ribosomal protein L3,0.870092342,1.019078108,0.63734031,,,,,
O75436,Vacuolar protein sorting-associated protein 26A,,0.987092308,0.73636895,,,,,
P35241,Radixin,0.939187043,0.918974236,0.699183851,,,,,
O75439,Mitochondrial-processing peptidase subunit beta,,0.885083713,,1,,,,
P35249,Replication factor C subunit 4,1.087073231,0.986664285,0.734928173,,,,,
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,,1.078707058,0.66093368,,,,,
Q96AC1,Fermitin family homolog 2,,1.032908359,0.737218104,,,,,
Q9NVP1,ATP-dependent RNA helicase DDX18,,0.99689225,0.653004537,,,,,
Q96CS3,FAS-associated factor 2,0.958365063,1.080958351,0.802644104,,,,,
P33176,Kinesin-1 heavy chain,,1.019702308,0.598764229,,,,,
Q5W111,Chronic lymphocytic leukemia deletion region gene 6 protein,1.085851396,,1.076277248,,,,,
P51798,H(+)/Cl(-) exchange transporter 7,1.198575704,,1.177353178,,,,,1
P62805,Histone H4,0.858933188,1.069566984,0.658425405,,,,,
O60610,Protein diaphanous homolog 1,0.853274222,0.913508025,0.646728065,,,,,
O60613,15 kDa selenoprotein,,1.019042383,,,1,,,
Q9UKL0,REST corepressor 1,,1.127048419,,,,,,
P17931,Galectin-3,0.879142441,0.975238423,0.682991455,,,,,
Q9BXW9,Fanconi anemia group D2 protein,,1.018813489,,,,,,
Q9BXW7,Cat eye syndrome critical region protein 5,,1.000075671,0.600469545,,1,,,
Q9BXW6,Oxysterol-binding protein-related protein 1,1.047372249,0.982161127,0.79560033,,,,,
Q8IY95,Transmembrane protein 192,0.855146425,1.113213433,0.7859946,,,,,1
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2,1.104624137,0.942451215,0.737686422,,,,,
O15321,Transmembrane 9 superfamily member 1,0.976675224,,0.792613716,,1,,,1
Q9Y6E0,Serine/threonine-protein kinase 24,,0.977076514,,,,,,
Q9H1A4,Anaphase-promoting complex subunit 1,,1.034790118,,,,,,
Q9BZE4,Nucleolar GTP-binding protein 1,,0.958349718,0.732088285,,,,,
Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",,,0.654452444,1,,,,1
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",,1.003589717,0.614879345,1,,,,
P55145,Mesencephalic astrocyte-derived neurotrophic factor,,0.950633889,1.146928012,,1,,,
Q9H8H3,Methyltransferase-like protein 7A,0.817372382,0.621541965,0.737359793,,1,,,
Q09161,Nuclear cap-binding protein subunit 1,,0.936960693,0.57513341,,,,,
O75387,Large neutral amino acids transporter small subunit 3,0.701396922,,0.437582087,,,,,1
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",1.080488926,,,1,,,,
O75381,Peroxisomal membrane protein PEX14,0.689728638,,,,,,,
Q5T3U5,Multidrug resistance-associated protein 7,0.780225991,,0.815925854,,,,,1
P78563,Double-stranded RNA-specific editase 1,,1.0641768,,,,,,
P53701,Cytochrome c-type heme lyase,1.026522389,,0.748187536,1,,,,
Q8TCZ2,CD99 antigen-like protein 2,0.839200879,,,,1,,,
Q5TDH0,Protein DDI1 homolog 2,,,0.746474798,,,,,
Q14562,ATP-dependent RNA helicase DHX8,,1.095302137,,,,,,
O60762,Dolichol-phosphate mannosyltransferase,0.914175866,1.01819531,0.791338222,,,,,
O60763,General vesicular transport factor p115,0.896864552,0.913431484,0.686744876,,,,,
Q86TG7,Retrotransposon-derived protein PEG10,,1.16972937,,,,,,
Q15185,Prostaglandin E synthase 3,,1.017722702,,,,,,
P53384,Cytosolic Fe-S cluster assembly factor NUBP1,,0.986694953,,,,,,
Q15181,Inorganic pyrophosphatase,,1.021197012,0.618419661,,,,,
P17844,Probable ATP-dependent RNA helicase DDX5,0.992801044,0.993553903,0.701945504,,,,,
Q6P1A2,Lysophospholipid acyltransferase 5,0.969060804,,,,,,,1
P20036,"HLA class II histocompatibility antigen, DP alpha 1 chain",2.421200876,2.166268841,2.24119965,,1,,,
Q9NPF4,Probable tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP,,1.136507993,,,,,,
Q86TU7,Histone-lysine N-methyltransferase setd3,,0.694137143,,,,,,
Q9NPF0,CD320 antigen,0.678689502,0.760365144,0.537252915,,1,,,
P25774,Cathepsin S,,,0.592648756,,1,,,
P41214,Eukaryotic translation initiation factor 2D,,1.089657312,0.760483959,,,,,
O94906,Pre-mRNA-processing factor 6,1.029016283,0.99986166,,,,,,
O94905,Erlin-2,1.706429932,1.357751283,1.838841007,,,1,,
O94903,Proline synthase co-transcribed bacterial homolog protein,,1.017746382,0.728030282,,,,,
Q2TAY7,WD40 repeat-containing protein SMU1,,1.011489617,0.690856968,,,,,
Q92520,Protein FAM3C,0.835734498,0.981118766,0.770194156,,1,,,
Q92522,Histone H1x,,,0.677718354,,,,,
Q9H9H4,Vacuolar protein sorting-associated protein 37B,1.119173277,,1.141169265,,,,,
O43242,26S proteasome non-ATPase regulatory subunit 3,1.000465992,0.945711368,0.610660139,,,,,
Q8N3C0,Activating signal cointegrator 1 complex subunit 3,,0.928346155,,,,,,
Q9NRF8,CTP synthase 2,,0.913794536,,,,,,
O43795,Myosin-Ib,1.1086473,1.033248442,0.808884188,,,,,
Q8N684,Cleavage and polyadenylation specificity factor subunit 7,,1.036787489,,,,,,
P53634,Dipeptidyl peptidase 1,0.98623769,1.006255253,1.057560944,,1,,,
Q14108,Lysosome membrane protein 2,1.718879993,1.815388094,1.713664796,,,,,1
Q9UH62,Armadillo repeat-containing X-linked protein 3,,,0.630363292,,,,,
Q14103,Heterogeneous nuclear ribonucleoprotein D0,1.088883586,1.08129303,0.65303677,,,,,
P27449,V-type proton ATPase 16 kDa proteolipid subunit,,,1.193301972,,,,,1
O43427,Acidic fibroblast growth factor intracellular-binding protein,0.7421911,,0.669347881,,,,,
P16152,Carbonyl reductase [NADPH] 1,,0.915746552,0.60153513,,,,,
P16150,Leukosialin,0.747457493,0.964975582,0.707740266,,1,,,
Q9UNX4,WD repeat-containing protein 3,,1.019442163,0.617373153,,,,,
Q13268,Dehydrogenase/reductase SDR family member 2,,0.725362503,0.468018033,,,,,
Q16851,UTP--glucose-1-phosphate uridylyltransferase,,1.016044908,0.611271993,,,,,
Q16850,Lanosterol 14-alpha demethylase,0.762034514,0.974149532,0.818313897,,,,,
P99999,Cytochrome c,,0.924031888,0.793730616,1,,,,
Q9HAB3,Riboflavin transporter 3,0.933508697,,,,,,,1
Q96G23,LAG1 longevity assurance homolog 2,0.721982378,0.940669384,0.644816165,,,,,1
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.903623722,0.994324113,0.818714687,1,,,,
P54764,Ephrin type-A receptor 4,1.958505735,,,,1,,,
A5YKK6,CCR4-NOT transcription complex subunit 1,1.408041875,0.993940234,0.736524813,,,,,
O75367,Core histone macro-H2A.1,,1.012367651,0.767208224,,,,,
P26640,Valyl-tRNA synthetase,0.933175253,0.936755023,0.721339165,,,,,
P26641,Elongation factor 1-gamma,1.024739395,0.927873546,0.640958557,,,,,
Q13232,Nucleoside diphosphate kinase 3,0.83756567,0.954526894,0.775238527,,,,,
Q99460,26S proteasome non-ATPase regulatory subunit 1,,1.003731701,0.671193162,,,,,
Q6UWB1,Interleukin-27 receptor subunit alpha,3.325690302,,,,1,,,
O75369,Filamin-B,,1.056155458,0.67453589,,,,,
P26885,Peptidyl-prolyl cis-trans isomerase FKBP2,,1.042931471,,,1,,,
P60709,"Actin, cytoplasmic 1",,1.066762384,0.773625047,,,,,
Q8TCT9,Minor histocompatibility antigen H13,0.84664058,,0.733277139,,1,,,1
Q6UW02,Cytochrome P450 20A1,0.483450402,,0.615003608,,,,,
P40763,Signal transducer and activator of transcription 3,,1.031043125,0.798970191,,,,,
P67870,Casein kinase II subunit beta,,1.400544663,0.610576415,,,,,
Q13347,Eukaryotic translation initiation factor 3 subunit I,1.000736359,1.020442034,0.730036961,,,,,
Q96KG9,N-terminal kinase-like protein,,0.843943592,,,,,,
P49411,"Elongation factor Tu, mitochondrial",0.845274638,0.92161371,0.628502757,1,,,,
P48147,Prolyl endopeptidase,,0.888226019,0.660885355,,,,,
P23588,Eukaryotic translation initiation factor 4B,,1.034182951,0.633539801,,,,,
Q9BQG0,Myb-binding protein 1A,1.010717901,1.038883087,0.67484205,,,,,
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,,0.989384014,0.527034165,1,,,,
Q4VC31,Coiled-coil domain-containing protein 58,,,1.251459466,,,,,
P21980,Protein-glutamine gamma-glutamyltransferase 2,,0.961560652,0.579902012,,,,,
Q96RU2,Ubiquitin carboxyl-terminal hydrolase 28,,1.023432075,,,,,,
O60664,Perilipin-3,,0.893384887,0.740273202,,,,,
P61619,Protein transport protein Sec61 subunit alpha isoform 1,,,0.570569735,,,,,1
P62495,Eukaryotic peptide chain release factor subunit 1,0.966118865,0.89812595,0.622826057,,,,,
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,1.006810514,0.881728646,0.804759387,,1,,,
A4D1P6,WD repeat-containing protein 91,,,0.820844279,,,,,
Q96DR7,Rho guanine nucleotide exchange factor 26,1.236025501,,,,,,,
Q9NWS0,PIH1 domain-containing protein 1,,1.200711439,,,,,,
Q96L58,"Beta-1,3-galactosyltransferase 6",,,1.178461897,,,1,,
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",,0.810450768,0.590568284,1,,,,
Q9ULV4,Coronin-1C,1.05367093,1.001269101,0.680733907,,,,,
Q9BY32,Inosine triphosphate pyrophosphatase,,1.44228582,0.650993204,,,,,
P50395,Rab GDP dissociation inhibitor beta,1.114626153,1.017108312,0.659358598,,,,,
P16333,Cytoplasmic protein NCK1,,1.116144499,,,,,,
Q96FZ7,Charged multivesicular body protein 6,1.201152459,,1.071772337,,,,,
Q96FZ5,CKLF-like MARVEL transmembrane domain-containing protein 7,1.025087515,,,,,,,1
P49773,Histidine triad nucleotide-binding protein 1,,0.976846508,0.71089649,,,,,
Q13641,Trophoblast glycoprotein,2.300711966,,1.964875891,,1,,,
P49770,Translation initiation factor eIF-2B subunit beta,,1.036303331,,,,,,
P25205,DNA replication licensing factor MCM3,1.099652305,1.011919076,0.663473633,,,,,
Q16186,Proteasomal ubiquitin receptor ADRM1,,0.708020166,,,,,,
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,0.992844755,1.199454121,1.114430753,,,,,
Q16181,Septin-7,,0.97880948,0.656639483,,,,,
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.962606681,,0.721043935,1,,,,
Q3LXA3,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),,1.198225662,,,,,,
Q9BTD8,RNA-binding protein 42,,1.146644406,,,,,,
O95251,Histone acetyltransferase MYST2,,1.115144349,,,,,,
Q96M27,Protein PRRC1,0.859055383,1.016133478,0.764374142,,,,,
Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B,,0.909659831,0.613338353,,,,,
Q96HS1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",1.542908068,,1.046743397,1,,,,
Q7Z478,ATP-dependent RNA helicase DHX29,,0.976852655,,,,,,
Q9NVM9,Cell cycle regulator Mat89Bb homolog,,0.87136851,,,,,,
Q96CN7,Isochorismatase domain-containing protein 1,,1.039113543,1.619061368,,,,,
P34932,Heat shock 70 kDa protein 4,,0.961107747,0.615769991,,,,,
Q86UN3,Reticulon-4 receptor-like 2,1.715370209,0.924852792,1.438033643,,1,,,
Q13733,Sodium/potassium-transporting ATPase subunit alpha-4,0.12680177,,,,,,,1
Q5RKV6,Exosome complex component MTR3,0.984104468,1.038643035,0.737980217,,,,,
Q9H6R4,Nucleolar protein 6,,0.965432562,,,,,,
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,,0.834864155,0.732030197,,,,,
P48556,26S proteasome non-ATPase regulatory subunit 8,,1.029386328,0.802404822,,,,,
O15067,Phosphoribosylformylglycinamidine synthase,,0.983516533,0.708925022,,,,,
P60891,Ribose-phosphate pyrophosphokinase 1,,1.127428418,,,,,,
Q9Y679,Ancient ubiquitous protein 1,0.931605378,,0.762548359,,,,1,
O95747,Serine/threonine-protein kinase OSR1,,1.14991938,0.817861527,,,,,
P01834,Ig kappa chain C region,0.842363678,0.956961274,1.302240819,,,,,
P16422,Epithelial cell adhesion molecule,1.602792921,,,,1,,,
Q9NZM1,Myoferlin,,0.929594555,0.626502151,,,1,,
P37235,Hippocalcin-like protein 1,0.885168863,1.12502271,0.711230482,,,,,
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",0.889089599,1.153147386,0.755829553,1,,,,
P13598,Intercellular adhesion molecule 2,1.727280702,,1.766212763,,1,,,
P30519,Heme oxygenase 2,0.986147238,1.011097297,1.06103819,,,,,
Q12788,Transducin beta-like protein 3,,0.921257025,0.607598319,,,,,
P05067,Amyloid beta A4 protein,0.910418612,,0.588305344,,1,,,
P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal",,,0.645863228,,,,,
Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1,1.152258701,,1.274967396,,,,,1
Q9C0K1,Zinc transporter ZIP8,1.515946532,,,,,,,1
O95249,Golgi SNAP receptor complex member 1,0.977962478,,1.240458599,,,,,
Q9UHD8,Septin-9,,1.048552011,0.657229536,,,,,
Q9Y295,Developmentally-regulated GTP-binding protein 1,,1.061853653,0.710145872,,,,,
Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2,,1.029154278,,,,,,
Q6UXN9,WD repeat-containing protein 82,,,0.666787291,,,,,
Q13823,Nucleolar GTP-binding protein 2,,0.878618803,,,,,,
P03886,NADH-ubiquinone oxidoreductase chain 1,,,0.751203763,1,,,,1
Q9UBB6,Neurochondrin,,0.975859306,,,,,,
P49959,Double-strand break repair protein MRE11A,,1.035631329,0.63598371,,,,,
P49795,Regulator of G-protein signaling 19,1.166716652,,,,,,,
Q96JB2,Conserved oligomeric Golgi complex subunit 3,,0.933170331,,,,,,
P49790,Nuclear pore complex protein Nup153,1.144377629,1.018872126,0.725011662,,,,,
Q01813,6-phosphofructokinase type C,,0.96082038,0.612119995,,,,,
P49792,E3 SUMO-protein ligase RanBP2,1.071227911,1.006540602,0.740927941,,,,,
P56545,C-terminal-binding protein 2,,1.015493004,,,,,,
Q9Y2Z0,Suppressor of G2 allele of SKP1 homolog,,1.375487485,0.712750146,,,,,
Q93009,Ubiquitin carboxyl-terminal hydrolase 7,,1.039799712,0.711113585,,,,,
Q93008,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,,1.115623828,,,,,,
P51114,Fragile X mental retardation syndrome-related protein 1,,0.9632456,0.614249493,,,,,
Q00341,Vigilin,1.000078554,1.022560054,0.697603607,,,,,
Q00610,Clathrin heavy chain 1,0.999552957,0.965533583,0.699368198,,,,,
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",,1.305766911,0.709008133,1,,,,
P78357,Contactin-associated protein 1,0.989766382,0.862585256,1.282287231,,1,,,
Q5T1V6,Probable ATP-dependent RNA helicase DDX59,,1.274963735,,,,,,
Q5SRE5,Nucleoporin NUP188 homolog,,0.96322111,,,,,,
O60547,"GDP-mannose 4,6 dehydratase",,0.869081916,,,,,,
Q6NUQ1,RAD50-interacting protein 1,,,0.737359927,,,,,
Q9UQ13,Leucine-rich repeat protein SHOC-2,1.134244968,,1.119179984,,,,,
Q9Y2T2,AP-3 complex subunit mu-1,1.542016245,1.165408461,1.448489708,,,,,
P09496,Clathrin light chain A,,,0.679695124,,,,,
O00478,Butyrophilin subfamily 3 member A3,1.174698334,,,,1,,,
O15247,Chloride intracellular channel protein 2,0.996266207,1.105434043,0.748950984,,,,,
Q96T76,MMS19 nucleotide excision repair protein homolog,,0.979318909,0.534505305,,,,,
Q15370,Transcription elongation factor B polypeptide 2,,1.637972626,,,,,,
Q86TM6,E3 ubiquitin-protein ligase synoviolin,,,1.10650813,,1,,,1
Q9P0L0,Vesicle-associated membrane protein-associated protein A,1.10849801,1.229774104,1.050537042,,,,,
O15084,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,,1.033698031,,,,,,
Q12996,Cleavage stimulation factor subunit 3,1.045348204,1.058849407,0.815927213,,,,,
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1,,1.111236804,0.641701836,,,,,
Q9NXS2,Glutaminyl-peptide cyclotransferase-like protein,,,2.103167764,,,,,
Q9Y617,Phosphoserine aminotransferase,,0.950091121,0.634988113,,,,,
Q9Y613,FH1/FH2 domain-containing protein 1,,0.870341215,,,,,,
Q08752,Peptidyl-prolyl cis-trans isomerase D,,0.976284728,0.612841994,,,,,
P32929,Cystathionine gamma-lyase,,0.952467033,0.623731537,,,,,
Q01105,Protein SET,0.955891117,1.056592538,0.625238665,,,,,
P35250,Replication factor C subunit 2,1.001163214,0.946733309,0.79537421,,,,,
P01130,Low-density lipoprotein receptor,1.286660067,,1.455950309,,1,,,
Q9UIA9,Exportin-7,,1.010408153,0.771672637,,,,,
Q00765,Receptor expression-enhancing protein 5,0.989156057,,0.741618191,,,,,1
P18669,Phosphoglycerate mutase 1,1.370789811,0.967815376,0.74309438,,,,,
P20340,Ras-related protein Rab-6A,1.054468443,1.032611,1.144688416,,,,,
Q9NYP7,Elongation of very long chain fatty acids protein 5,,,0.769654086,,,,,1
Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase,,0.981670684,0.646402523,,,,,
Q8TC12,Retinol dehydrogenase 11,0.906108036,,0.797112536,,,1,,
Q9UKM9,RNA-binding protein Raly,,0.88988888,,,,,,
Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",2.326036801,2.062696199,3.003820849,,,1,,
Q9Y4P3,Transducin beta-like protein 2,0.615169379,,0.618542734,,,,,
Q9C0E8,Protein lunapark,0.878846272,,0.724146646,,,,,1
Q9BXP5,Serrate RNA effector molecule homolog,,1.086990896,0.533541151,,,,,
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,0.974067952,,0.78000686,1,,,,
P08708,40S ribosomal protein S17,1.418294548,,,,,,,
P32856,Syntaxin-2,0.828890038,,,,,,,
Q5T1M5,FK506-binding protein 15,,,1.422023898,,,,,
P29692,Elongation factor 1-delta,0.98197941,0.925278657,0.601324835,,,,,
P78344,Eukaryotic translation initiation factor 4 gamma 2,0.956794774,0.975794285,0.654919424,,,,,
Q68EM7,Rho GTPase-activating protein 17,,1.267117419,,,,,,
Q99674,Cell growth regulator with EF hand domain protein 1,0.969408934,,1.213671752,,1,,,
O75390,"Citrate synthase, mitochondrial",1.015265813,0.931413653,0.654138657,1,,,,
O75396,Vesicle-trafficking protein SEC22b,0.859385016,0.777960606,0.804085836,,,,,
O75558,Syntaxin-11,0.953862572,0.963263426,0.80166996,,,,,
Q9BZJ0,Crooked neck-like protein 1,,,0.692493352,,,,,
P14550,Alcohol dehydrogenase [NADP+],,1.023376172,0.566412345,,,,,
Q9Y4F1,"FERM, RhoGEF and pleckstrin domain-containing protein 1",0.962957417,,,,,,,
P61960,Ubiquitin-fold modifier 1,,1.022591049,1.122803365,,,,,
O75882,Attractin,0.892370375,,,,1,,,
O60779,Thiamine transporter 1,0.999921452,,,,,,,1
Q14126,Desmoglein-2,,0.956744424,,,1,,,
Q9BSJ8,Extended synaptotagmin-1,1.004497504,1.240437321,1.115359809,,,,,1
P35659,Protein DEK,,0.980342029,0.739311249,,,,,
P35658,Nuclear pore complex protein Nup214,,1.096363005,,,,,,
P62701,"40S ribosomal protein S4, X isoform",0.94728647,0.939925932,0.649427716,,,,,
Q9BSJ2,Gamma-tubulin complex component 2,,0.921631545,0.691005238,,,,,
O00566,U3 small nucleolar ribonucleoprotein protein MPP10,,1.212008562,1.08415519,,,,,
P27694,Replication protein A 70 kDa DNA-binding subunit,1.759576789,1.007236139,0.718823235,,,,,
P27695,DNA-(apurinic or apyrimidinic site) lyase,0.918885631,1.029662759,0.702867563,1,,,,
O75955,Flotillin-1,0.994199612,1.112253358,0.820006123,,,,,
P17858,"6-phosphofructokinase, liver type",1.173250242,1.289454868,0.815847922,,,,,
P10114,Ras-related protein Rap-2a,,,0.725558741,,,,,
Q15003,Condensin complex subunit 2,,2.085149668,,,,,,
Q08379,Golgin subfamily A member 2,1.018660795,0.945101164,,,,,,
Q08378,Golgin subfamily A member 3,,1.257365444,,,,,,
Q9H7Z7,Prostaglandin E synthase 2,1.04480374,1.001049198,1.055836884,,,,,
P00441,Superoxide dismutase [Cu-Zn],1.026265242,1.039783719,0.663402822,,,,,
O94979,Protein transport protein Sec31A,,0.958468272,0.6825016,,,,,
O75083,WD repeat-containing protein 1,,0.979664326,0.616813205,,,,,
P42771,"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",,1.044003438,0.744552536,,,,,
Q09028,Histone-binding protein RBBP4,,0.767088909,0.538812102,,,,,
O94973,AP-2 complex subunit alpha-2,1.009993806,1.14724154,1.302754615,,,,,
Q06830,Peroxiredoxin-1,0.969767398,0.972494941,0.651757591,,,,,
Q14166,Tubulin--tyrosine ligase-like protein 12,,0.978085991,0.627304125,,,,,
P14174,Macrophage migration inhibitory factor,,0.968835711,0.610651539,,,,,
P20618,Proteasome subunit beta type-1,,0.960134634,0.631083526,,,,,
P55039,Developmentally-regulated GTP-binding protein 2,,0.990845614,0.789228757,,,,,
Q9NRG9,Aladin,0.967784826,1.010089625,0.729282752,,,,,
Q8TC07,TBC1 domain family member 15,,1.149149957,,,,,,
Q96RD7,Pannexin-1,0.999737574,0.87777835,0.769038938,,,,,1
Q8WVV9,Heterogeneous nuclear ribonucleoprotein L-like,,1.128512999,,,,,,
Q14137,Ribosome biogenesis protein BOP1,1.092704605,1.069745327,0.639778452,,,,,
P62633,Cellular nucleic acid-binding protein,,,0.741725128,,,,,
P23368,"NAD-dependent malic enzyme, mitochondrial",,0.879118661,0.780383534,1,,,,
O76024,Wolframin,,,2.152668612,,,,,1
P52735,Guanine nucleotide exchange factor VAV2,,0.877659944,,,,,,
P17096,High mobility group protein HMG-I/HMG-Y,1.13601055,,,,,,,
P46783,40S ribosomal protein S10,1.007272879,1.052818196,0.637780066,,,,,
P46782,40S ribosomal protein S5,1.063448497,0.88257534,0.617228423,,,,,
P46781,40S ribosomal protein S9,0.919340993,0.938636541,0.63229939,,,,,
P13929,Beta-enolase,,0.991794528,,,,,,
O43707,Alpha-actinin-4,1.030628736,0.885953592,0.626819561,,,,,
Q8TD16,Protein bicaudal D homolog 2,,1.142785159,,,,,,
P04632,Calpain small subunit 1,0.939292462,0.945770257,0.650368478,,,,,
Q16864,V-type proton ATPase subunit F,,,0.728359187,,,,,
Q9H4G0,Band 4.1-like protein 1,0.990924377,1.048836353,1.100224594,,,,,
O75179,Ankyrin repeat domain-containing protein 17,,1.009946951,1.133603089,,,,,
Q9H4G4,Golgi-associated plant pathogenesis-related protein 1,1.033804457,,,,,,,
Q13228,Selenium-binding protein 1,,0.998006891,,,,,,
O75376,Nuclear receptor corepressor 1,,1.037197439,,,,,,
