"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"Q9Y6E2","HUMAN","Basic leucine zipper and W2 domain-containing protein 2","1","0.986223","2","1"
"P43121","HUMAN","Cell surface glycoprotein MUC18","1","2.273715","4","2"
"P13995","HUMAN","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","1","0.441023","1","1"
"P20073","HUMAN","Annexin A7","1","1.04709175","10","4"
"Q9Y394","HUMAN","Dehydrogenase/reductase SDR family member 7","1","0.815994","1","1"
"P01903","HUMAN","HLA class II histocompatibility antigen, DR alpha chain","1","1.82211333333","9","3"
"Q9P0L0","HUMAN","Vesicle-associated membrane protein-associated protein A","1","1.12535133333","6","3"
"[-Q9UL36]","HUMAN","Zinc finger protein 236","1","0.987975","1","1"
"P54753","HUMAN","Ephrin type-B receptor 3","1","1.3858","1","1"
"Q8N4L2","HUMAN","Transmembrane protein 55A","1","1.40268","1","1"
"Q9Y2R0","HUMAN","Coiled-coil domain-containing protein 56","1","0.87828825","6","4"
"Q9H4E7","HUMAN","Differentially expressed in FDCP 6 homolog","1","1.83358","1","1"
"O94826","HUMAN","Mitochondrial import receptor subunit TOM70","1","1.0731235","7","4"
"[-Q15057]","HUMAN","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2","1","0.036316","1","1"
"P09471","HUMAN","Guanine nucleotide-binding protein G(o) subunit alpha","1","0.142055","1","1"
"Q5TC12","HUMAN","ATP synthase mitochondrial F1 complex assembly factor 1","1","1.77893","2","1"
"Q5RI15","HUMAN","Protein FAM36A","1","1.06286","1","1"
"P07919","HUMAN","Cytochrome b-c1 complex subunit 6, mitochondrial","1","1.0877285","3","2"
"Q86U42","HUMAN","Polyadenylate-binding protein 2","1","0.700314","2","1"
"Q13200","HUMAN","26S proteasome non-ATPase regulatory subunit 2","1","0.697201","3","2"
"P18077","HUMAN","60S ribosomal protein L35a","1","0.916603","4","2"
"Q9Y5Y5","HUMAN","Peroxisomal membrane protein PEX16","1","0.8958585","4","2"
"P30040","HUMAN","Endoplasmic reticulum resident protein 29","1","0.938120333333","12","6"
"P41252","HUMAN","Isoleucyl-tRNA synthetase, cytoplasmic","1","0.785237","3","2"
"Q9Y5Y6","HUMAN","Suppressor of tumorigenicity 14 protein","1","0.78699125","7","4"
"[-O15050]","HUMAN","TPR and ankyrin repeat-containing protein 1","1","1.19906","2","1"
"Q9UBM7","HUMAN","7-dehydrocholesterol reductase","1","1.162935","16","6"
"O75192","HUMAN","Peroxisomal membrane protein 11A","1","0.768341","1","1"
"Q7Z2K6","HUMAN","Endoplasmic reticulum metallopeptidase 1","1","2.3437","1","1"
"Q12931","HUMAN","Heat shock protein 75 kDa, mitochondrial","1","1.01044914286","13","7"
"Q9Y678","HUMAN","Coatomer subunit gamma","1","1.02748","1","1"
"Q9Y679","HUMAN","Ancient ubiquitous protein 1","1","1.00075625","7","4"
"P11233","HUMAN","Ras-related protein Ral-A","1","1.08016625","8","4"
"P40429","HUMAN","60S ribosomal protein L13a","1","0.885447","1","1"
"Q9Y676","HUMAN","28S ribosomal protein S18b, mitochondrial","1","0.907485","1","1"
"Q13838","HUMAN","Spliceosome RNA helicase BAT1","1","1.21978","2","1"
"O75352","HUMAN","Mannose-P-dolichol utilization defect 1 protein","1","1.23389","1","1"
"Q7Z434","HUMAN","Mitochondrial antiviral-signaling protein","1","2.68191","1","1"
"Q9Y673","HUMAN","Dolichyl-phosphate beta-glucosyltransferase","1","0.8741945","7","4"
"Q9NP72","HUMAN","Ras-related protein Rab-18","1","1.2646908","10","5"
"P13747","HUMAN","HLA class I histocompatibility antigen, alpha chain E","1","2.49096","2","1"
"P20674","HUMAN","Cytochrome c oxidase subunit 5A, mitochondrial","1","1.07637166667","9","3"
"P62258","HUMAN","14-3-3 protein epsilon","1","1.28541","1","1"
"Q96S66","HUMAN","Chloride channel CLIC-like protein 1","1","0.609902","1","1"
"P13667","HUMAN","Protein disulfide-isomerase A4","1","1.24811563636","21","11"
"[-Q5H9K5]","HUMAN","Zinc finger matrin-type protein 1","1","1.1895","1","1"
"P62820","HUMAN","Ras-related protein Rab-1A","1","0.707005","2","1"
"P62879","HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2","1","1.051625","6","2"
"Q15758","HUMAN","Neutral amino acid transporter B(0)","1","0.780399","22","8"
"P05387","HUMAN","60S acidic ribosomal protein P2","1","1.20552","1","1"
"P52799","HUMAN","Ephrin-B2","1","3.1631","1","1"
"Q99653","HUMAN","Calcium-binding protein p22","1","1.060735","4","2"
"P62873","HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","1","0.83101925","7","4"
"P78347","HUMAN","General transcription factor II-I","1","0.700497","1","1"
"Q7Z7K0","HUMAN","COX assembly mitochondrial protein homolog","1","1.35151","2","1"
"Q86VE9","HUMAN","Serine incorporator 5","1","1.15858","1","1"
"Q15006","HUMAN","Tetratricopeptide repeat protein 35","1","1.11292366667","5","3"
"Q15005","HUMAN","Signal peptidase complex subunit 2","1","1.2866675","7","4"
"Q99798","HUMAN","Aconitate hydratase, mitochondrial","1","1.39740757143","11","7"
"Q8TCJ2","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","1","1.322545","7","4"
"P07355","HUMAN","Annexin A2","1","1.055763","4","3"
"Q16795","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial","1","1.15179","1","1"
"O76021","HUMAN","Ribosomal L1 domain-containing protein 1","1","0.786072","1","1"
"[-Q70Z35]","HUMAN","Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein","1","1.15727","2","1"
"P52272","HUMAN","Heterogeneous nuclear ribonucleoprotein M","1","1.225281","16","8"
"Q9BY50","HUMAN","Signal peptidase complex catalytic subunit SEC11C","1","1.74056","1","1"
"P14406","HUMAN","Cytochrome c oxidase subunit 7A2, mitochondrial","1","0.965242","3","2"
"O00767","HUMAN","Acyl-CoA desaturase","1","2.1206","2","1"
"P39656","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","1","1.32347075","20","8"
"O60476","HUMAN","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","1","1.78908","3","2"
"Q8NDZ4","HUMAN","UPF0672 protein C3orf58","1","2.1465","3","2"
"Q15366","HUMAN","Poly(rC)-binding protein 2","1","1.016695","3","2"
"Q15365","HUMAN","Poly(rC)-binding protein 1","1","1.1234665","6","4"
"O15258","HUMAN","Protein RER1","1","1.32975","2","1"
"P16401","HUMAN","Histone H1.5","1","4.92106","2","2"
"A6NDU8","HUMAN","UPF0600 protein C5orf51","1","0.564527","1","1"
"P51809","HUMAN","Vesicle-associated membrane protein 7","1","1.23644","2","1"
"Q3ZAQ7","HUMAN","Vacuolar ATPase assembly integral membrane protein VMA21","1","1.31105","4","1"
"P09326","HUMAN","CD48 antigen","1","2.45544","2","1"
"O60220","HUMAN","Mitochondrial import inner membrane translocase subunit Tim8 A","1","1.43124","1","1"
"P29401","HUMAN","Transketolase","1","2.93627","1","1"
"Q587I9","HUMAN","Vesicle transport protein SFT2C","1","1.55844","2","1"
"Q12846","HUMAN","Syntaxin-4","1","1.07772066667","12","6"
"Q9UNM6","HUMAN","26S proteasome non-ATPase regulatory subunit 13","1","1.23559","2","1"
"O15155","HUMAN","BET1 homolog","1","1.90578","1","1"
"P62917","HUMAN","60S ribosomal protein L8","1","1.1114498","8","5"
"Q10472","HUMAN","Polypeptide N-acetylgalactosaminyltransferase 1","1","0.896065","1","1"
"Q9H7F0","HUMAN","Probable cation-transporting ATPase 13A3","1","1.376105","4","2"
"Q16563","HUMAN","Synaptophysin-like protein 1","1","1.74261","2","1"
"P32322","HUMAN","Pyrroline-5-carboxylate reductase 1, mitochondrial","1","0.829587","2","1"
"P18085","HUMAN","ADP-ribosylation factor 4","1","1.79155","2","1"
"P39023","HUMAN","60S ribosomal protein L3","1","1.15540716667","9","6"
"Q9BZL1","HUMAN","Ubiquitin-like protein 5","1","1.00799","2","1"
"O75533","HUMAN","Splicing factor 3B subunit 1","1","1.02486","1","1"
"P48643","HUMAN","T-complex protein 1 subunit epsilon","1","1.049841","3","2"
"O75439","HUMAN","Mitochondrial-processing peptidase subunit beta","1","0.7220885","4","2"
"O75534","HUMAN","Cold shock domain-containing protein E1","1","1.1368","2","1"
"P61018","HUMAN","Ras-related protein Rab-4B","1","16.7767","1","1"
"P61019","HUMAN","Ras-related protein Rab-2A","1","1.25469","3","1"
"P19256","HUMAN","Lymphocyte function-associated antigen 3","1","1.6569","2","1"
"Q5W111","HUMAN","Chronic lymphocytic leukemia deletion region gene 6 protein","1","1.156015","4","2"
"O95299","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial","1","0.76266","2","1"
"Q96TC7","HUMAN","Regulator of microtubule dynamics protein 3","1","1.1495","2","1"
"Q5VV42","HUMAN","CDK5 regulatory subunit-associated protein 1-like 1","1","1.73001","2","1"
"P62805","HUMAN","Histone H4","1","0.812359","16","6"
"Q14103","HUMAN","Heterogeneous nuclear ribonucleoprotein D0","1","1.29219","2","1"
"P62753","HUMAN","40S ribosomal protein S6","1","1.06985575","10","4"
"Q96HV5","HUMAN","Transmembrane protein 41A","1","0.752603","1","1"
"Q9UDX3","HUMAN","SEC14-like protein 4","1","1.45297","1","1"
"Q9HCE1","HUMAN","Putative helicase MOV-10","1","1.07105","8","5"
"P68106","HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP1B","1","1.42695","1","1"
"Q9BXW7","HUMAN","Cat eye syndrome critical region protein 5","1","0.941053","4","3"
"P07195","HUMAN","L-lactate dehydrogenase B chain","1","1.29255","8","4"
"Q07820","HUMAN","Induced myeloid leukemia cell differentiation protein Mcl-1","1","1.34342","2","1"
"Q15070","HUMAN","Mitochondrial inner membrane protein OXA1L","1","0.958578","4","2"
"O15511","HUMAN","Actin-related protein 2/3 complex subunit 5","1","0.912123","2","1"
"Q86W74","HUMAN","Ankyrin repeat domain-containing protein 46","1","1.0455","1","1"
"P36542","HUMAN","ATP synthase subunit gamma, mitochondrial","1","1.1759112","8","5"
"O15321","HUMAN","Transmembrane 9 superfamily member 1","1","1.34553","3","2"
"Q8IXM3","HUMAN","39S ribosomal protein L41, mitochondrial","1","1.16488","2","1"
"P15151","HUMAN","Poliovirus receptor","1","0.898796","1","1"
"Q9Y320","HUMAN","Thioredoxin-related transmembrane protein 2","1","0.8466425","8","4"
"P11142","HUMAN","Heat shock cognate 71 kDa protein","1","1.11756955556","24","9"
"Q9Y2C4","HUMAN","Nuclease EXOG, mitochondrial","1","1.89374","1","1"
"O95807","HUMAN","Transmembrane protein 50A","1","0.890784","1","1"
"Q9BVC6","HUMAN","Transmembrane protein 109","1","1.02899866667","3","3"
"P04075","HUMAN","Fructose-bisphosphate aldolase A","1","1.328272","8","5"
"Q16706","HUMAN","Alpha-mannosidase 2","1","2.22866633333","22","12"
"Q9NQX7","HUMAN","Integral membrane protein 2C","1","11.6786","2","1"
"P33992","HUMAN","DNA replication licensing factor MCM5","1","0.538972","1","1"
"Q16134","HUMAN","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial","1","1.2624105","3","2"
"Q13011","HUMAN","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial","1","1.1827758","9","5"
"Q17RC7","HUMAN","SEC6-like protein C14orf73","1","0.838783","1","1"
"Q9H8H3","HUMAN","Methyltransferase-like protein 7A","1","0.952124","17","5"
"Q9NR30","HUMAN","Nucleolar RNA helicase 2","1","1.03297","2","1"
"P26038","HUMAN","Moesin","1","1.13987","1","1"
"Q0VGL1","HUMAN","UPF0539 protein C7orf59","1","1.31906","2","1"
"O75380","HUMAN","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial","1","1.28378","4","2"
"P34897","HUMAN","Serine hydroxymethyltransferase, mitochondrial","1","1.0897728","11","5"
"Q13155","HUMAN","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2","1","0.981511","1","1"
"P54886","HUMAN","Delta-1-pyrroline-5-carboxylate synthase","1","0.970728","3","2"
"P49736","HUMAN","DNA replication licensing factor MCM2","1","0.504885666667","3","3"
"P30499","HUMAN","HLA class I histocompatibility antigen, Cw-1 alpha chain","1","1.30879","2","1"
"Q96DV4","HUMAN","39S ribosomal protein L38, mitochondrial","1","1.0559885","3","2"
"Q9NWW5","HUMAN","Ceroid-lipofuscinosis neuronal protein 6","1","1.19895","2","1"
"Q3ZCQ8","HUMAN","Mitochondrial import inner membrane translocase subunit TIM50","1","1.418635","4","2"
"Q96L92","HUMAN","Sorting nexin-27","1","1.148","1","1"
"P53701","HUMAN","Cytochrome c-type heme lyase","1","1.51289","1","1"
"P46092","HUMAN","C-C chemokine receptor type 10","1","1.94193","1","1"
"P50914","HUMAN","60S ribosomal protein L14","1","1.09229316667","10","6"
"Q8N5Z0","HUMAN","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial","1","1.08356","2","1"
"[-Q9NXA8]","HUMAN","NAD-dependent deacetylase sirtuin-5","1","0.772683","1","1"
"P09669","HUMAN","Cytochrome c oxidase subunit 6C","1","1.3418","1","1"
"Q53H12","HUMAN","Acylglycerol kinase, mitochondrial","1","1.07569","6","3"
"Q14204","HUMAN","Cytoplasmic dynein 1 heavy chain 1","1","1.20005","3","2"
"Q9BYT8","HUMAN","Neurolysin, mitochondrial","1","0.938644","2","1"
"Q9H0V9","HUMAN","VIP36-like protein","1","1.00932","2","1"
"A0FGR8","HUMAN","Extended synaptotagmin-2","1","5.95715588889","13","9"
"O14672","HUMAN","Disintegrin and metalloproteinase domain-containing protein 10","1","1.1675604","7","5"
"P62899","HUMAN","60S ribosomal protein L31","1","1.08592","1","1"
"O95772","HUMAN","MLN64 N-terminal domain homolog","1","1.46452","2","1"
"Q8NFQ8","HUMAN","Torsin-1A-interacting protein 2","1","2.524935","2","2"
"Q9BUJ2","HUMAN","Heterogeneous nuclear ribonucleoprotein U-like protein 1","1","1.73770475","7","4"
"P00338","HUMAN","L-lactate dehydrogenase A chain","1","1.530265","11","6"
"Q15185","HUMAN","Prostaglandin E synthase 3","1","0.904533","4","2"
"P37268","HUMAN","Squalene synthase","1","1.682815","6","4"
"P62263","HUMAN","40S ribosomal protein S14","1","1.3251","4","2"
"P06213","HUMAN","Insulin receptor","1","1.221855","3","2"
"Q9H3D4","HUMAN","Tumor protein 63","1","1.34912","1","1"
"[-Q96P69]","HUMAN","G-protein coupled receptor 78","1","1.02189","1","1"
"P17844","HUMAN","Probable ATP-dependent RNA helicase DDX5","1","1.1951342","6","5"
"P50570","HUMAN","Dynamin-2","1","1.05737","1","1"
"[-O14773]","HUMAN","Tripeptidyl-peptidase 1","1","1.19335","1","1"
"Q92841","HUMAN","Probable ATP-dependent RNA helicase DDX17","1","0.834404","2","1"
"P20036","HUMAN","HLA class II histocompatibility antigen, DP alpha 1 chain","1","2.04402666667","9","3"
"P07814","HUMAN","Bifunctional aminoacyl-tRNA synthetase","1","0.840951","11","6"
"Q8NBP0","HUMAN","Tetratricopeptide repeat protein 13","1","5.02375","1","1"
"Q15067","HUMAN","Peroxisomal acyl-coenzyme A oxidase 1","1","1.24118","1","1"
"Q9NPF0","HUMAN","CD320 antigen","1","0.955367","11","5"
"P56134","HUMAN","ATP synthase subunit f, mitochondrial","1","1.26278","5","2"
"O00161","HUMAN","Synaptosomal-associated protein 23","1","1.21197","1","1"
"O60486","HUMAN","Plexin-C1","1","1.74244","1","1"
"O43169","HUMAN","Cytochrome b5 type B","1","1.20886","2","1"
"O60488","HUMAN","Long-chain-fatty-acid--CoA ligase 4","1","1.15871","1","1"
"O94905","HUMAN","Erlin-2","1","2.04183","7","3"
"P30086","HUMAN","Phosphatidylethanolamine-binding protein 1","1","1.66072","1","1"
"P31146","HUMAN","Coronin-1A","1","0.985481285714","15","7"
"Q8NE86","HUMAN","Coiled-coil domain-containing protein 109A","1","22.3026","1","1"
"P22102","HUMAN","Trifunctional purine biosynthetic protein adenosine-3","1","0.764478","2","1"
"Q96IX5","HUMAN","Up-regulated during skeletal muscle growth protein 5","1","1.10474","2","1"
"P35579","HUMAN","Myosin-9","1","1.4544675","7","4"
"Q9NUQ8","HUMAN","ATP-binding cassette sub-family F member 3","1","0.923609","1","1"
"Q99829","HUMAN","Copine-1","1","0.643306666667","3","3"
"P13473","HUMAN","Lysosome-associated membrane glycoprotein 2","1","2.496885","3","2"
"Q8N6T3","HUMAN","ADP-ribosylation factor GTPase-activating protein 1","1","24.235","1","1"
"Q53GQ0","HUMAN","Estradiol 17-beta-dehydrogenase 12","1","1.12223","6","4"
"[-Q6UW60]","HUMAN","Proprotein convertase subtilisin/kexin type 4","1","1.23256","2","1"
"P06748","HUMAN","Nucleophosmin","1","0.852853","4","2"
"Q13445","HUMAN","Transmembrane emp24 domain-containing protein 1","1","1.271635","4","2"
"P49821","HUMAN","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial","1","1.2237505","8","4"
"Q9BPU6","HUMAN","Dihydropyrimidinase-related protein 5","1","0.755097","1","1"
"P50897","HUMAN","Palmitoyl-protein thioesterase 1","1","2.16327","2","1"
"Q13263","HUMAN","Transcription intermediary factor 1-beta","1","0.867081","2","1"
"P04040","HUMAN","Catalase","1","1.13607471429","13","7"
"Q6UX07","HUMAN","Dehydrogenase/reductase SDR family member 13","1","0.844773","2","1"
"Q9Y2G8","HUMAN","DnaJ homolog subfamily C member 16","1","1.42452","1","1"
"Q8TCS8","HUMAN","Polyribonucleotide nucleotidyltransferase 1, mitochondrial","1","0.445288","1","1"
"Q9BRK5","HUMAN","45 kDa calcium-binding protein","1","8.77207","1","1"
"P53634","HUMAN","Dipeptidyl peptidase 1","1","0.914383","1","1"
"[-P17097]","HUMAN","Zinc finger protein 7","1","0.765234","4","1"
"Q562R1","HUMAN","Beta-actin-like protein 2","1","1.36294","4","1"
"Q9H444","HUMAN","Charged multivesicular body protein 4b","1","1.07666","4","2"
"Q14108","HUMAN","Lysosome membrane protein 2","1","1.91768","4","2"
"Q02978","HUMAN","Mitochondrial 2-oxoglutarate/malate carrier protein","1","1.1177905","17","8"
"Q14240","HUMAN","Eukaryotic initiation factor 4A-II","1","1.23577","1","1"
"O43760","HUMAN","Synaptogyrin-2","1","1.117154","10","5"
"Q9UQ80","HUMAN","Proliferation-associated protein 2G4","1","0.81525","2","1"
"Q02878","HUMAN","60S ribosomal protein L6","1","1.17785863636","23","11"
"O00299","HUMAN","Chloride intracellular channel protein 1","1","0.95131475","7","4"
"O94766","HUMAN","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3","1","1.27137","1","1"
"P07203","HUMAN","Glutathione peroxidase 1","1","1.19655","2","1"
"Q96Q80","HUMAN","Derlin-3","1","1.04604","2","1"
"P41440","HUMAN","Folate transporter 1","1","0.707355","2","2"
"Q96QD8","HUMAN","Sodium-coupled neutral amino acid transporter 2","1","0.9587865","4","2"
"Q63HR2","HUMAN","Tensin-like C1 domain-containing phosphatase","1","0.982009","2","1"
"Q8IWX8","HUMAN","Calcium homeostasis endoplasmic reticulum protein","1","0.664551","1","1"
"[-Q9Y4C0]","HUMAN","Neurexin-3-alpha","1","1.28052","1","1"
"P16150","HUMAN","Leukosialin","1","0.934198","2","1"
"P57740","HUMAN","Nuclear pore complex protein Nup107","1","0.736198","1","1"
"P51648","HUMAN","Fatty aldehyde dehydrogenase","1","1.298502","7","5"
"Q14739","HUMAN","Lamin-B receptor","1","0.852002","2","1"
"Q86X29","HUMAN","Lipolysis-stimulated lipoprotein receptor","1","0.944046666667","6","3"
"Q16850","HUMAN","Lanosterol 14-alpha demethylase","1","0.8914854","7","5"
"P99999","HUMAN","Cytochrome c","1","1.00004","3","1"
"Q9HAB3","HUMAN","Riboflavin transporter 3","1","0.66438","1","1"
"O95202","HUMAN","LETM1 and EF-hand domain-containing protein 1, mitochondrial","1","1.359227625","12","8"
"Q9Y2Q3","HUMAN","Glutathione S-transferase kappa 1","1","0.987172","2","1"
"Q15043","HUMAN","Zinc transporter ZIP14","1","1.41624","2","1"
"P31689","HUMAN","DnaJ homolog subfamily A member 1","1","0.909258","1","1"
"Q15041","HUMAN","ADP-ribosylation factor-like protein 6-interacting protein 1","1","0.730909","4","1"
"P22234","HUMAN","Multifunctional protein ADE2","1","0.818445","2","1"
"[-Q6ZQY2]","HUMAN","Leucine-rich repeat-containing protein LOC400891","1","0.832853","2","1"
"Q96AQ6","HUMAN","Pre-B-cell leukemia transcription factor-interacting protein 1","1","4.20137375","15","8"
"A5YKK6","HUMAN","CCR4-NOT transcription complex subunit 1","1","1.05516","2","1"
"Q86Y82","HUMAN","Syntaxin-12","1","1.371212","9","5"
"P16435","HUMAN","NADPH--cytochrome P450 reductase","1","1.13057216667","12","6"
"Q9Y624","HUMAN","Junctional adhesion molecule A","1","1.32857766667","4","3"
"P26640","HUMAN","Valyl-tRNA synthetase","1","0.9434028","16","10"
"P26641","HUMAN","Elongation factor 1-gamma","1","1.07347666667","14","6"
"O95168","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4","1","1.34573","1","1"
"O95169","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial","1","0.956795","1","1"
"Q13232","HUMAN","Nucleoside diphosphate kinase 3","1","1.7431195","7","4"
"O95167","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3","1","1.01038","2","1"
"O15118","HUMAN","Niemann-Pick C1 protein","1","2.249135","3","2"
"Q5SGD2","HUMAN","Protein phosphatase 1L","1","1.587905","4","2"
"[-Q3V6T2]","HUMAN","Girdin","1","0.61786","2","1"
"O43491","HUMAN","Band 4.1-like protein 2","1","1.27737275","6","4"
"P13637","HUMAN","Sodium/potassium-transporting ATPase subunit alpha-3","1","0.720443","2","2"
"P26885","HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP2","1","1.32645","2","1"
"Q9BRP4","HUMAN","Proteasomal ATPase-associated factor 1","1","0.85334","3","2"
"Q9Y399","HUMAN","28S ribosomal protein S2, mitochondrial","1","1.01157","1","1"
"[-Q92585]","HUMAN","Mastermind-like protein 1","1","1.2696","1","1"
"P53396","HUMAN","ATP-citrate synthase","1","1.18431","1","1"
"Q96EY7","HUMAN","Pentatricopeptide repeat-containing protein 3, mitochondrial","1","1.1266675","4","2"
"P13639","HUMAN","Elongation factor 2","1","0.9546545","8","4"
"Q99519","HUMAN","Sialidase-1","1","1.78134","1","1"
"P60468","HUMAN","Protein transport protein Sec61 subunit beta","1","0.5459905","3","2"
"Q96CS3","HUMAN","FAS-associated factor 2","1","1.165645","7","4"
"P11586","HUMAN","C-1-tetrahydrofolate synthase, cytoplasmic","1","0.87127","1","1"
"P61353","HUMAN","60S ribosomal protein L27","1","1.00952","2","1"
"P26010","HUMAN","Integrin beta-7","1","0.923942","29","11"
"P04183","HUMAN","Thymidine kinase, cytosolic","1","1.0991675","2","2"
"P04181","HUMAN","Ornithine aminotransferase, mitochondrial","1","1.23912","1","1"
"Q9HDC9","HUMAN","Adipocyte plasma membrane-associated protein","1","1.57940222222","17","9"
"P10966","HUMAN","T-cell surface glycoprotein CD8 beta chain","1","1.23304","2","1"
"Q9BW60","HUMAN","Elongation of very long chain fatty acids protein 1","1","0.959292","2","1"
"Q9ULS5","HUMAN","Transmembrane and coiled-coil domains protein 3","1","0.9204895","4","2"
"O14828","HUMAN","Secretory carrier-associated membrane protein 3","1","1.13095325","17","8"
"Q9H3H5","HUMAN","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","1","1.08488","1","1"
"P15880","HUMAN","40S ribosomal protein S2","1","1.16927225","19","8"
"P50416","HUMAN","Carnitine O-palmitoyltransferase 1, liver isoform","1","1.154341625","17","8"
"Q9BXS4","HUMAN","Transmembrane protein 59","1","0.88522","1","1"
"P60660","HUMAN","Myosin light polypeptide 6","1","0.81203","1","1"
"P21912","HUMAN","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial","1","0.6960845","3","2"
"Q8WU67","HUMAN","Abhydrolase domain-containing protein 3","1","0.840995","1","1"
"Q96RQ1","HUMAN","Endoplasmic reticulum-Golgi intermediate compartment protein 2","1","1.85877","1","1"
"Q9NX62","HUMAN","Inositol monophosphatase 3","1","1.38154","2","1"
"Q9NX63","HUMAN","Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial","1","2.44446","7","4"
"Q13347","HUMAN","Eukaryotic translation initiation factor 3 subunit I","1","0.904602","1","1"
"Q10469","HUMAN","Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","1","1.454235","6","4"
"O60506","HUMAN","Heterogeneous nuclear ribonucleoprotein Q","1","0.8985015","4","2"
"Q9H1E5","HUMAN","Thioredoxin-related transmembrane protein 4","1","2.13485","1","1"
"P62316","HUMAN","Small nuclear ribonucleoprotein Sm D2","1","0.6706","2","1"
"P55809","HUMAN","Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial","1","0.9825544","10","5"
"P62314","HUMAN","Small nuclear ribonucleoprotein Sm D1","1","1.06334","3","1"
"Q13423","HUMAN","NAD(P) transhydrogenase, mitochondrial","1","1.26680085","34","20"
