Accession,Localization,Description,Norm avg ratio,test,direct sec61?,membrane?,GO
O00303,cytosol,Eukaryotic translation initiation factor 3 subunit F,1.045938441,1,no,no,eukaryotic translation initiation factor 3 complex;cytoplasm;eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex;cytosol;eukaryotic translation initiation factor 3 complex;
O00308,nucleus,NEDD4-like E3 ubiquitin-protein ligase WWP2,1.143702448,1,no,no,ubiquitin ligase complex;intracellular;
O00400,multiTM,Acetyl-coenzyme A transporter 1,0.905145276,1,yes,,endoplasmic reticulum;membrane fraction;membrane;endoplasmic reticulum membrane;integral to plasma membrane;
O00410,cytosol,Importin-5,0.9295611,1,no,no,nucleus;cytoplasm;nuclear pore;nucleolus;
O00425,nucleus,Insulin-like growth factor 2 mRNA-binding protein 3,0.786112353,1,no,no,cytoplasm;nucleus;cytoplasm;
O00429,cytosol,Dynamin-1-like protein,0.911127975,1,no,yes,cytoplasm;mitochondrial outer membrane;cytosol;membrane;cis-Golgi network;endoplasmic reticulum;endomembrane system;
O00461,type II,Golgi integral membrane protein 4,1.31550171,1,yes,,Golgi lumen;Golgi apparatus;nucleus;membrane;endosome membrane;endocytic vesicle;Golgi cisterna membrane;cis-Golgi network;endosome;integral to membrane;
O00478,type I,Butyrophilin subfamily 3 member A3,1.174790612,1,yes,,integral to membrane;membrane;
O00483,mito,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,1.019426385,1,no,no,membrane;mitochondrial inner membrane;mitochondrion;mitochondrial respiratory chain complex I;respiratory chain;
O00487,cytosol,26S proteasome non-ATPase regulatory subunit 14,1.013047424,1,no,no,proteasome complex;
O00499,nucleus,Myc box-dependent-interacting protein 1,0.751498703,1,no,no,nucleus;cytoplasm;synaptic vesicle;actin cytoskeleton;cytoplasm;
O00505,nucleus,Importin subunit alpha-3,3.556458966,1,no,no,nucleus;cytoplasm;nuclear pore;
O00541,nucleus,Pescadillo homolog,0.871248905,1,no,no,preribosome; large subunit precursor;nucleolus;preribosome; large subunit precursor;intracellular;PeBoW complex;nucleoplasm;nucleus;PeBoW complex;PeBoW complex;
O00559,type III,Receptor-binding cancer antigen expressed on SiSo cells,0.996219948,1,yes,,focal adhesion;integral to membrane;Golgi membrane;plasma membrane;soluble fraction;Golgi apparatus;
O00560,cytosol,Syntenin-1,0.960275112,1,no,yes,plasma membrane;membrane;adherens junction;cytoskeleton;interleukin-5 receptor complex;melanosome;endoplasmic reticulum;cell junction;nucleus;endoplasmic reticulum membrane;focal adhesion;cytosol;cytoplasm;
O00566,nucleus,U3 small nucleolar ribonucleoprotein protein MPP10,1.08415519,1,no,no,nucleolus;small nucleolar ribonucleoprotein complex;nucleus;
O00567,nucleus,Nucleolar protein 56,0.925930933,1,no,no,nucleus;small nucleolar ribonucleoprotein complex;pre-snoRNP complex;box C/D snoRNP complex;nucleolus;
O00571,nucleus,ATP-dependent RNA helicase DDX3X,1.091703156,1,no,no,nuclear speck;cytoplasm;cytoplasm;nucleus;cytoplasm;
O00625,nucleus,Pirin,0.869434479,1,no,no,nucleus;
O00629,nucleus,Importin subunit alpha-4,1.187198986,1,no,no,cytoplasm;nucleus;nuclear pore;
O00764,cytosol,Pyridoxal kinase,0.735502619,1,no,no,cytosol;cytoplasm;
O14530,unchar.,Thioredoxin domain-containing protein 9,1.133909733,1,no,no,cellular_component;
O14548,mito,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",1.198934179,1,no,no,membrane;mitochondrion;mitochondrial respiratory chain;
O14561,mito,"Acyl carrier protein, mitochondrial",1.042534007,1,no,no,mitochondrial membrane;mitochondrial matrix;mitochondrial respiratory chain complex I;mitochondrial respiratory chain complex I;mitochondrion;respiratory chain;mitochondrial membrane;
O14579,cytosol,Coatomer subunit epsilon,1.073989326,1,no,yes,Golgi apparatus;cytosol;COPI vesicle coat;membrane;cytosol;cytoplasmic vesicle;Golgi membrane;cytoplasm;
O14617,cytosol,AP-3 complex subunit delta-1,1.700860124,1,no,yes,membrane;cytoplasm;Golgi apparatus;Golgi membrane;membrane coat;
O14653,type IV,Golgi SNAP receptor complex member 2,0.77970153,1,no,yes,integral to membrane;Golgi apparatus;membrane;Golgi membrane;
O14656,"secreted, ER lumen",Torsin-1A,1.50800668,1,yes,no,soluble fraction;growth cone;cytoplasm;endoplasmic reticulum lumen;nucleus;neuronal cell body;microtubule;membrane;nuclear membrane;endoplasmic reticulum;
O14662,type IV,Syntaxin-16,1.078813924,1,,,membrane;microsome;Golgi apparatus;SNARE complex;cytoplasm;Golgi membrane;integral to membrane;
O14672,type I,Disintegrin and metalloproteinase domain-containing protein 10,1.357628759,1,,,integral to membrane;Golgi-associated vesicle;cytoplasm;plasma membrane;Golgi apparatus;postsynaptic density;endomembrane system;cell surface;nucleus;
O14734,perox,"Acyl-coenzyme A thioesterase 8, peroxisomes",0.743785697,1,,,peroxisome;mitochondrion;
O14735,,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,0.921436931,1,,,endoplasmic reticulum;Golgi apparatus;integral to membrane;Golgi membrane;endoplasmic reticulum membrane;plasma membrane;
O14737,,Programmed cell death protein 5,0.776060176,1,,,NA
O14744,,Protein arginine N-methyltransferase 5,0.834822991,1,,,nucleus;nucleus;cytoplasm;
O14745,cytosol,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1.111284254,1,,,ruffle;filopodium;apical plasma membrane;endomembrane system;actin cytoskeleton;intracellular membrane-bounded organelle;plasma membrane;microvillus;
O14776,,Transcription elongation regulator 1,0.840359251,1,,,nucleus;
O14818,,Proteasome subunit alpha type-7,0.767884893,1,,,proteasome complex;cytoplasm;nucleus;proteasome core complex; alpha-subunit complex;
O14828,multiTM,Secretory carrier-associated membrane protein 3,1.112273427,1,,,integral to membrane;membrane;
O14841,,5-oxoprolinase,0.740357512,1,,,NA
O14880,,Microsomal glutathione S-transferase 3,1.034200446,1,,,endoplasmic reticulum membrane;endoplasmic reticulum;integral to membrane;membrane;microsome;membrane fraction;
O14929,,Histone acetyltransferase type B catalytic subunit,1.338115047,1,,,nucleus;cytoplasm;
O14936,cytosol,Peripheral plasma membrane protein CASK,0.840674247,1,,,synapse;cytosol;basolateral plasma membrane;actin cytoskeleton;nucleus;cytoplasm;plasma membrane;synaptosome;
O14964,,Hepatocyte growth factor-regulated tyrosine kinase substrate,0.903289869,1,,,early endosome;cytosol;cytosol;endosome;cytoplasm;intracellular membrane-bounded organelle;membrane;cytosol;early endosome membrane;multivesicular body membrane;
O14974,,Protein phosphatase 1 regulatory subunit 12A,1.045204247,1,,,cytoplasm;
O14976,,Cyclin-G-associated kinase,1.188343358,1,,,perinuclear region of cytoplasm;cell junction;focal adhesion;cytoplasm;Golgi apparatus;
O14979,cytosol,Heterogeneous nuclear ribonucleoprotein D-like,0.890211549,1,,,cytoplasm;nucleus;heterogeneous nuclear ribonucleoprotein complex;
O14980,cytosol,Exportin-1,0.872568048,1,,,nuclear envelope;kinetochore;Cajal body;nucleoplasm;cytosol;annulate lamellae;nucleus;ribonucleoprotein complex;nucleoplasm;nucleolus;cytoplasm;
O14981,,TATA-binding protein-associated factor 172,1.0111556,1,,,nucleus;
O15020,cytosol,"Spectrin beta chain, brain 2",0.93369024,1,,,cytosol;spectrin;cytoskeleton;cytoplasm;cell cortex;neuronal cell body;
O15027,,Protein transport protein Sec16A,0.853312837,1,,,Golgi apparatus;endoplasmic reticulum;membrane;Golgi membrane;endoplasmic reticulum membrane;
O15031,type I,Plexin-B2,0.927128226,1,,,intracellular;integral to membrane;membrane;
O15042,,U2 snRNP-associated SURP motif-containing protein,0.984353263,1,,,NA
O15067,,Phosphoribosylformylglycinamidine synthase,0.896361867,1,,,cytoplasm;
O15084,,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,1.033698031,1,,,nucleus;nucleoplasm;
O15118,"multiTM, SS",Niemann-Pick C1 protein,1.791988695,1,,,lysosome;lysosomal membrane;late endosome membrane;perinuclear region of cytoplasm;endoplasmic reticulum;membrane;nuclear envelope;endosome;integral to membrane;integral to plasma membrane;
O15126,multiTM,"Secretory carrier-associated membrane protein 1, SCAMP1",1.25161112,1,,,endosome;integral to membrane;recycling endosome membrane;synaptic vesicle membrane;trans-Golgi network;membrane;Golgi apparatus;zymogen granule membrane;synapse;
O15127,multiTM,Secretory carrier-associated membrane protein 2,1.012019859,1,,,trans-Golgi network membrane;Golgi apparatus;recycling endosome membrane;endosome;intracellular membrane-bounded organelle;integral to membrane;membrane;
O15143,cytosol,Actin-related protein 2/3 complex subunit 1B,0.986891067,1,,,cytoplasm;actin cytoskeleton;Arp2/3 protein complex;
O15144,cytosol,Actin-related protein 2/3 complex subunit 2,0.902889262,1,,,cell leading edge;Arp2/3 protein complex;cell projection;focal adhesion;Golgi apparatus;cytoplasm;actin cytoskeleton;
O15145,cytosol,Actin-related protein 2/3 complex subunit 3,0.975705809,1,,,Arp2/3 protein complex;lamellipodium;actin cytoskeleton;cytoplasm;
O15155,,BET1 homolog,0.952413072,1,,,endoplasmic reticulum;membrane;Golgi membrane;integral to membrane;Golgi apparatus;endoplasmic reticulum membrane;
O15160,,DNA-directed RNA polymerases I and III subunit RPAC1,0.853008155,1,,,nucleoplasm;nucleus;nucleoplasm;nucleoplasm;DNA-directed RNA polymerase I complex;
O15164,,Transcription intermediary factor 1-alpha,0.91296408,1,,,perichromatin fibrils;cytoplasm;intracellular;nucleus;nuclear euchromatin;
O15173,type III,Membrane-associated progesterone receptor component 2,0.856907328,1,,,integral to membrane;membrane;
O15212,,Prefoldin subunit 6,0.743281222,1,,,prefoldin complex;
O15213,,WD repeat-containing protein 46,1.032986966,1,,,cellular_component;
O15226,,NF-kappa-B-repressing factor,0.984095693,1,,,cytoplasm;nucleolus;nucleus;nucleus;intracellular;
O15247,multiTM,Chloride intracellular channel protein 2,0.996344468,1,,,cytoplasm;intracellular;nucleus;integral to membrane;membrane;chloride channel complex;
O15258,multiTM,Protein RER1,0.846118836,1,,,Golgi membrane;Golgi apparatus;membrane;integral to membrane;integral to Golgi membrane;
O15260,multiTM,Surfeit locus protein 4,0.847378579,1,,,ER-Golgi intermediate compartment membrane;endoplasmic reticulum;integral to membrane;Golgi apparatus;ER-Golgi intermediate compartment;endoplasmic reticulum membrane;membrane;Golgi membrane;
O15269,type III,Serine palmitoyltransferase 1,0.890164454,1,,,membrane;SPOTS complex;integral to membrane;endoplasmic reticulum;serine C-palmitoyltransferase complex;endoplasmic reticulum membrane;
O15270,type II,Serine palmitoyltransferase 2,0.856904169,1,,,endoplasmic reticulum membrane;integral to membrane;mitochondrion;endoplasmic reticulum;membrane;serine C-palmitoyltransferase complex;
O15294,,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,1.06136321,1,,,cytosol;MLL5-L complex;cytoplasm;nucleus;
O15321,multiTM,Transmembrane 9 superfamily member 1,0.976751946,1,,,lysosomal membrane;autophagic vacuole membrane;cytoplasmic vesicle;membrane;integral to membrane;
O15355,,Protein phosphatase 1G,1.062602694,1,,,nucleus;protein serine/threonine phosphatase complex;cytoplasm;
O15371,cytosol,Eukaryotic translation initiation factor 3 subunit D,0.921346122,1,,,eukaryotic translation initiation factor 3 complex;cytosol;eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex;cytoplasm;
O15372,cytosol,Eukaryotic translation initiation factor 3 subunit H,0.859862387,1,,,eukaryotic translation initiation factor 3 complex;cytosol;eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex;cytoplasm;
O15381,nucleus,Nuclear valosin-containing protein-like,1.214452902,1,,,nucleolus;nucleus;
O15382,mito,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.919062478,1,,,cytoplasm;nucleus;mitochondrion;
O15397,,Importin-8,1.090204325,1,,,cytoplasm;nucleus;
O15400,type IV,Syntaxin-7,1.056754077,1,,,early endosome membrane;integral to membrane;membrane;endosome;Golgi apparatus;intracellular membrane-bounded organelle;SNARE complex;
O15427,multiTM,Monocarboxylate transporter 4,0.96381489,1,,,integral to plasma membrane;membrane fraction;plasma membrane;
O15439,multiTM,Multidrug resistance-associated protein 4,0.936628239,1,,,platelet dense granule membrane;integral to membrane;membrane fraction;plasma membrane;
O15440,multiTM,Multidrug resistance-associated protein 5,0.777811999,1,,,perinuclear region of cytoplasm;membrane fraction;integral to plasma membrane;membrane;
O15479,,Melanoma-associated antigen B2,0.933900942,1,,,NA
O15511,cytosol,Actin-related protein 2/3 complex subunit 5,1.116657154,1,,,cell projection;Arp2/3 protein complex;cytoplasm;actin cytoskeleton;
O15533,type I,Tapasin,1.018819733,1,,,Golgi membrane;MHC class I peptide loading complex;TAP complex;endoplasmic reticulum;membrane;integral to membrane;endoplasmic reticulum membrane;microsome;
O43143,cytosol,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,0.916305891,1,,,U12-type spliceosomal complex;nucleus;
O43148,,mRNA cap guanine-N7 methyltransferase,0.625565338,1,,,nucleoplasm;nucleoplasm;nucleus;
O43156,,TEL2-interacting protein 1 homolog,0.911001206,1,,,NA
O43169,mito,Cytochrome b5 type B,0.968336907,1,,,membrane;integral to membrane;mitochondrial inner membrane;mitochondrion;microsome;mitochondrial outer membrane;
O43172,,U4/U6 small nuclear ribonucleoprotein Prp4,1.133351324,1,,,spliceosomal complex;U4/U6 snRNP;nuclear speck;nucleus;nucleolus;Cajal body;spliceosomal complex;
O43175,cytosol,D-3-phosphoglycerate dehydrogenase,0.763311971,1,,,NA
O43237,,Cytoplasmic dynein 1 light intermediate chain 2,0.951780659,1,,,cytoplasmic dynein complex;cytoplasm;microtubule;
O43242,cytosol,26S proteasome non-ATPase regulatory subunit 3,1.000544583,1,,,proteasome complex;
O43264,,Centromere/kinetochore protein zw10 homolog,0.943498537,1,,,membrane;cytoplasm;kinetochore;kinetochore microtubule;kinetochore;kinetochore;spindle pole;condensed chromosome kinetochore;endoplasmic reticulum;cytoskeleton;endoplasmic reticulum membrane;nucleus;
O43290,nucleus,U4/U6.U5 tri-snRNP-associated protein 1,1.155904866,1,,,nucleoplasm;Cajal body;spliceosomal complex;cytosol;cytoplasm;nucleus;
O43292,multiTM,Glycosylphosphatidylinositol anchor attachment 1 protein,1.395169415,1,,,integral to membrane;GPI-anchor transamidase complex;endoplasmic reticulum;membrane;endoplasmic reticulum membrane;
O43324,,Eukaryotic translation elongation factor 1 epsilon-1,0.743864082,1,,,cytosol;cytoplasm;cytosol;cytosol;cytosol;nucleus;cytosol;cytosol;cytosol;
O43390,cytosol,Heterogeneous nuclear ribonucleoprotein R,0.94788999,1,,,nucleus;heterogeneous nuclear ribonucleoprotein complex;spliceosomal complex;nucleoplasm;ribonucleoprotein complex;cytoplasm;
O43396,,Thioredoxin-like protein 1,1.239685057,1,,,cytoplasm;cytoplasm;
O43399,cytosol,Tumor protein D54,0.89787577,1,,,perinuclear region of cytoplasm;perinuclear region of cytoplasm;cytoplasm;cytoplasm;
O43427,cytosol,Acidic fibroblast growth factor intracellular-binding protein,0.742249402,1,,,membrane fraction;nucleus;endomembrane system;microsome;membrane;mitochondrion;
O43447,,Peptidyl-prolyl cis-trans isomerase H,1.039652469,1,,,U4/U6 snRNP;nuclear speck;spliceosomal complex;U4/U6 x U5 tri-snRNP complex;nucleus;cytoplasm;
O43488,,Aflatoxin B1 aldehyde reductase member 2,0.854099486,1,,,Golgi apparatus;cytoplasm;
O43491,cytosol,Band 4.1-like protein 2,1.130889385,1,,,cytoskeleton;cytoplasm;plasma membrane;spectrin;extrinsic to membrane;
O43504,cytosol,Hepatitis B virus X-interacting protein,1.269971987,1,,,cytoplasm;cytosol;
O43505,,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",4.445499034,1,,,Golgi membrane;Golgi apparatus;integral to membrane;integral to Golgi membrane;membrane;
O43566,nucleus,Regulator of G-protein signaling 14,1.13568768,1,,,spindle;membrane;nucleus;
O43583,,Density-regulated protein,0.787625108,1,,,cellular_component;
O43592,,Exportin-T,0.766689338,1,,,nucleoplasm;nuclear pore;nucleus;cytoplasm;
O43615,mito,Mitochondrial import inner membrane translocase subunit TIM44,0.826555352,1,,,membrane;mitochondrial inner membrane presequence translocase complex;mitochondrion;mitochondrial matrix;
O43617,,Trafficking protein particle complex subunit 3,0.970915802,1,,,endoplasmic reticulum;TRAPP complex;Golgi apparatus;cytosol;Golgi membrane;
O43660,nucleus,Pleiotropic regulator 1,1.108814723,1,,,nuclear speck;spliceosomal complex;nucleus;
O43670,,Zinc finger protein 207,0.645073407,1,,,intracellular;nucleus;nucleolus;nucleus;
O43674,,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",1.134403255,1,,,respiratory chain;mitochondrial inner membrane;integral to membrane;mitochondrion;membrane;mitochondrial respiratory chain complex I;
O43676,mito,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,1.113996054,1,,,mitochondrion;mitochondrial respiratory chain complex I;mitochondrial inner membrane;membrane;respiratory chain;integral to membrane;
O43681,nucleus,ATPase ASNA1,1.289217973,1,,,endoplasmic reticulum;soluble fraction;nucleolus;nucleus;cytoplasm;
O43684,,Mitotic checkpoint protein BUB3,0.760842265,1,,,nucleus;cytosol;cytosol;kinetochore;cytosol;nucleolus;condensed chromosome kinetochore;
O43707,cytosol,Alpha-actinin-4,1.030709696,1,,,stress fiber;cytoplasm;nucleus;cortical cytoskeleton;pseudopodium;nucleus;ribonucleoprotein complex;protein complex;stress fiber;perinuclear region of cytoplasm;cytoplasm;nucleolus;actin cytoskeleton;
O43719,,HIV Tat-specific factor 1,1.001848212,1,,,nucleus;nucleolus;
O43747,cytosol,AP-1 complex subunit gamma-1,0.963921974,1,,,trans-Golgi network;AP-type membrane coat adaptor complex;perinuclear region of cytoplasm;cytoplasmic vesicle;Golgi apparatus;clathrin-coated vesicle;clathrin adaptor complex;cytoplasm;membrane;cytosol;clathrin coated vesicle membrane;
O43752,type IV,Syntaxin-6,1.02613279,1,,,early endosome;integral to membrane;clathrin-coated vesicle;Golgi apparatus;Golgi apparatus;Golgi membrane;trans-Golgi network;plasma membrane;membrane fraction;perinuclear region of cytoplasm;
O43759,multiTM,Synaptogyrin-1,1.143913415,1,,,cell junction;melanosome;synaptic vesicle membrane;synapse;integral to plasma membrane;membrane;
O43760,multiTM,Synaptogyrin-2,1.033516421,1,,,cytoplasmic membrane-bounded vesicle;integral to plasma membrane;membrane;
O43765,,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,0.754357062,1,,,cytoplasm;
O43772,mito,Mitochondrial carnitine/acylcarnitine carrier protein,0.947506722,1,,,mitochondrial inner membrane;integral to membrane;mitochondrion;membrane;
O43776,cytosol,"Asparaginyl-tRNA synthetase, cytoplasmic",0.77179093,1,,,cytoplasm;cytosol;soluble fraction;mitochondrion;
O43795,cytosol,Myosin-Ib,1.108734389,1,,,myosin complex;
O43809,,Cleavage and polyadenylation specificity factor subunit 5,0.877488902,1,,,paraspeckles;nucleus;centrosome;
O43813,,LanC-like protein 1,0.757778847,1,,,cytoplasm;integral to plasma membrane;membrane;nucleus;
O43826,,Glucose-6-phosphate translocase,1.046336839,1,,,integral to endoplasmic reticulum membrane;endoplasmic reticulum membrane;endoplasmic reticulum;membrane;integral to membrane;
O43837,,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",0.722165512,1,,,mitochondrion;
O43847,,Nardilysin,1.113595199,1,,,cell surface;cytosol;
O43852,,Calumenin,0.814563872,1,,,extracellular region;Golgi apparatus;endoplasmic reticulum;sarcoplasmic reticulum lumen;melanosome;
O43865,,Putative adenosylhomocysteinase 2,0.766611916,1,,,endoplasmic reticulum;
O43913,,Origin recognition complex subunit 5,0.935305658,1,,,nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleus;nucleoplasm;nucleoplasm;origin recognition complex;nucleoplasm;
O43920,mito,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,0.974144469,1,,,membrane;mitochondrial inner membrane;mitochondrial respiratory chain complex I;mitochondrial respiratory chain complex I;respiratory chain;mitochondrion;
O60216,,Double-strand-break repair protein rad21 homolog,1.151987136,1,,,cohesin complex;nucleus;nucleolus;nuclear chromosome;
O60220,,Mitochondrial import inner membrane translocase subunit Tim8 A,1.121808019,1,,,membrane;mitochondrial inner membrane;mitochondrion;mitochondrial intermembrane space protein transporter complex;
O60231,,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,1.002593569,1,,,nucleus;
O60232,,Sjoegren syndrome/scleroderma autoantigen 1,0.930084998,1,,,NA
O60234,,Glia maturation factor gamma,0.583118026,1,,,intracellular;
O60239,cytosol,SH3 domain-binding protein 5,0.698038482,1,,,mitochondrion;cytoplasm;
O60264,,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,1.250210512,1,,,nucleus;nucleolus;chromatin silencing complex;condensed chromosome;nucleus;RSF complex;nucleoplasm;
O60266,multiTM,Adenylate cyclase type 3,1.235886899,1,,,plasma membrane;integral to plasma membrane;plasma membrane;nucleus;membrane fraction;membrane raft;cytoplasm;plasma membrane;plasma membrane;plasma membrane;
O60287,,Nucleolar pre-ribosomal-associated protein 1,1.078635721,1,,,nucleolus;nucleus;nucleolus;
O60293,,Zinc finger C3H1 domain-containing protein,0.641203501,1,,,intracellular;
O60306,,Intron-binding protein aquarius,1.144095668,1,,,nucleus;spliceosomal complex;
O60313,mito,"Dynamin-like 120 kDa protein, mitochondrial",0.923557721,1,,,mitochondrial outer membrane;dendrite;mitochondrial crista;membrane;integral to membrane;mitochondrion;mitochondrial intermembrane space;
O60341,,Lysine-specific histone demethylase 1A,1.230710815,1,,,nucleus;nucleus;
O60343,,TBC1 domain family member 4,0.938582391,1,,,cytoplasm;intracellular;
O60353,,Frizzled-6,1.104715506,1,,,apicolateral plasma membrane;integral to plasma membrane;apical part of cell;plasma membrane;
O60443,,Non-syndromic hearing impairment protein 5,0.947491266,1,,,NA
O60449,type I,Lymphocyte antigen 75,1.750609598,1,,,integral to plasma membrane;membrane;
O60462,type I,Neuropilin-2,0.761212871,1,,,axon;membrane fraction;plasma membrane;integral to membrane;
O60476,type II,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1.429482525,1,,,Golgi membrane;Golgi apparatus;integral to membrane;membrane fraction;membrane;
O60486,type I,Plexin-C1,1.316998047,1,,,integral to membrane;intracellular;plasma membrane;
O60488,type III,Long-chain-fatty-acid--CoA ligase 4,1.382342678,1,,,membrane;mitochondrial outer membrane;peroxisome;neuronal cell body;integral to membrane;endoplasmic reticulum membrane;peroxisomal membrane;microsome;endoplasmic reticulum;mitochondrion;
O60493,cytosol,Sorting nexin-3,1.053919,1,,,cytoplasm;early endosome;
O60499,,Syntaxin-10,1.303017027,1,,,Golgi membrane;membrane;Golgi apparatus;integral to membrane;
O60502,,Bifunctional protein NCOAT,0.8913236,1,,,nucleus;cytoplasm;
O60506,cytosol,Heterogeneous nuclear ribonucleoprotein Q,0.967536885,1,,,nucleus;endoplasmic reticulum;microsome;cytoplasm;ribonucleoprotein complex;histone pre-mRNA 3'end processing complex;CRD-mediated mRNA stability complex;spliceosomal complex;nucleoplasm;
O60512,,"Beta-1,4-galactosyltransferase 3",3.412261765,1,,,Golgi apparatus;membrane;integral to membrane;Golgi cisterna membrane;cytoplasm;
O60547,,"GDP-mannose 4,6 dehydratase",0.869081916,1,,,intracellular;cytoplasm;
O60568,,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",0.991605335,1,,,endoplasmic reticulum;membrane;rough endoplasmic reticulum membrane;
